medical_term,example_matched_text,plain_language_explanation,document_count,document_frequency_percent,total_occurrence_count,sample_names,example_sentence,manual_decision,manual_reason,reviewer_notes
treatment,TREATMENT,Helping someone get better by doing something.,27,25.0,36,TAH - Discharge Summary | Renal Disease - Discharge Summary | Psychiatric Discharge Summary,"On discharge, hemoglobin and hematocrit 7.9 and 25.2.,HOSPITAL COURSE AND TREATMENT: ,The patient was admitted to the surgical suite and taken to the operating room on 6/10/2009 where a total abdominal hysterectomy (TAH) with low intraoperative complication was performed.",,,
hemoglobin,Hemoglobin,A protein in the blood that carries oxygen and makes blood red.,27,25.0,35,Urology Discharge Summary | Pancreatic Mass - Discharge Summary | Leiomyosarcoma,"Blood group was A, Rh positive, Hemoglobin 13, Hematocrit 32.1, Prothrombin time 12.6 seconds, PTT 37.1.",,,
iv,IV,Getting fluids and medicine put into your bloodstream through a needle.,26,24.07,43,Psychiatric Discharge Summary | Pyelonephritis - Discharge Summary | Otitis Media - Discharge Summary,"This was AMA against hospital advice.,DISCHARGE DIAGNOSES:,AXIS I: Schizoaffective disorder, bipolar type.,AXIS II: Deferred.,AXIS III: Hepatitis C.,AXIS IV: Severe.,AXIS V: 19.,CONDITION OF PATIENT ON DISCHARGE: , The patient remained disorganized.",,,
surgery,surgery,An operation that involves cutting open the skin to treat or fix a part of the body.,26,24.07,40,Urology Discharge Summary | Pyelonephritis - Discharge Summary | Post Thyroidectomy - Discharge Summary,"He is being discharged in satisfactory condition with a good urinary stream, minimal hematuria, and on Bactrim DS one a day for ten days with a standard postprostatic surgery instruction sheet.",,,
evaluation,evaluation,Assessing or judging something.,26,24.07,35,Speech Therapy - Discharge Summary - 2 | Speech Therapy - Discharge Summary - 1 | Psychiatric Discharge Summary,"We did complete an oral mechanism examination and clinical swallow evaluation, which showed her swallowing to be within functional limits.",,,
emergency,emergency,Emergency: A really serious situation that needs immediate attention.,26,24.07,30,Renal Disease - Discharge Summary | Pneumonia & COPD - Discharge Summary | Neurology - Discharge Summary,"In the emergency room, the patient was given fluids and orthostatics were checked.",,,
symptoms,symptoms,Symptoms are changes in the body or mind caused by a disease that can be noticed by the person experiencing them and others.,25,23.15,31,Urology Discharge Summary | Renal Disease - Discharge Summary | Pyelonephritis - Discharge Summary,"PROCEDURES:, Cystourethroscopy and transurethral resection of prostate.,COMPLICATIONS:, None.,ADMITTING DIAGNOSIS:, Difficulty voiding.,HISTORY:, This 67-year old Hispanic male patient was admitted because of enlarged prostate and symptoms of bladder neck obstruction.",,,
soft,Soft,Soft means not hard.,24,22.22,27,Prematurity - Discharge Summary | Otitis Media - Discharge Summary | Mastoiditis - Discharge Summary,"Extremities without evidence of hip defects.,ABDOMEN: Soft, bowel sounds present.",,,
hematocrit,Hematocrit,Hematocrit measures the proportion of red blood cells in the blood.,23,21.3,29,Urology Discharge Summary | Pancreatic Mass - Discharge Summary | Knee Surgery - Discharge Summary,"Blood group was A, Rh positive, Hemoglobin 13, Hematocrit 32.1, Prothrombin time 12.6 seconds, PTT 37.1.",,,
outpatient,outpatient,Getting medical care without staying overnight in a hospital.,22,20.37,37,Speech Therapy - Discharge Summary - 2 | Urology Discharge Summary | Speech Therapy - Discharge Summary - 1,"The patient was initially authorized for 12 outpatient speech therapy sessions, but once again she only attended 9.",,,
positive,positive,Something is there.,22,20.37,37,Urology Discharge Summary | Prematurity - Discharge Summary | Leiomyosarcoma,"Blood group was A, Rh positive, Hemoglobin 13, Hematocrit 32.1, Prothrombin time 12.6 seconds, PTT 37.1.",,,
blood pressure,blood pressure,Blood pressure is the pressure of blood pushing against the walls of the arteries.,22,20.37,36,Mastoiditis - Discharge Summary | Knee Surgery - Discharge Summary | Lap Chole - Discharge Summary,"well.,DISCHARGE PHYSICAL EXAMINATION:,GENERAL: The patient is alert, in no respiratory distress.,VITAL SIGNS: His temperature is 97.6, heart rate 83, blood pressure 105/57, respiratory rate 16 on room air.,HEENT: Right ear shows no redness.",,,
bowel,bowel,The intestines in your belly that break down food.,22,20.37,35,Renal Disease - Discharge Summary | Prematurity - Discharge Summary | Otitis Media - Discharge Summary,"Denies any bowel or bladder loss, although he reports very little urine output secondary to his end-stage renal disease.",,,
blood,Blood,Blood is a fluid that carries nutrients and oxygen to different parts of the body.,21,19.44,60,Urology Discharge Summary | Mastoiditis - Discharge Summary | Neonatal Discharge Summary - 1,"Blood group was A, Rh positive, Hemoglobin 13, Hematocrit 32.1, Prothrombin time 12.6 seconds, PTT 37.1.",,,
creatinine,creatinine,Creatinine is a byproduct of muscle activity that the kidneys filter out of the blood; high levels can indicate kidney problems.,21,19.44,30,Urology Discharge Summary | Pancreatic Mass - Discharge Summary | Otitis Media - Discharge Summary,",LABORATORY DATA:, BUN 19 and creatinine 1.1.",,,
chest x-ray,Chest x-ray,A chest x-ray is a photo of your insides taken to see what's going on in your chest.,21,19.44,28,Urology Discharge Summary | Otitis Media - Discharge Summary | Pneumonia & COPD - Discharge Summary,"Chest x-ray calcified old granulomatous disease, otherwise normal.",,,
postoperative,postoperative,"""Postoperative means after surgery.""",20,18.52,47,TAH - Discharge Summary | Post Thyroidectomy - Discharge Summary | Mullerian Adenosarcoma,"On the 1st postoperative day, the patient was afebrile and all vital signs were stable.",,,
bilateral,Bilateral,Having two sides or parts on the body or an organ.,20,18.52,35,Otitis Media - Discharge Summary | Pneumonia & COPD - Discharge Summary | Intrauterine Pregnancy - Discharge Summary,"Bilateral otitis media.,2.",,,
hospitalization,hospitalization,Being admitted to and staying in a hospital.,20,18.52,30,Pneumonia & COPD - Discharge Summary | Post Thyroidectomy - Discharge Summary | Leiomyosarcoma,"The patient made slow, but steady improvement over the course of his hospitalization.",,,
abdominal,abdominal,Related to the stomach area.,20,18.52,28,TAH - Discharge Summary | Pancreatic Mass - Discharge Summary | Mullerian Adenosarcoma,"Extensive adenomyosis by pathological report.,OPERATION PERFORMED: , On 6/10/2009 total abdominal hysterectomy (TAH).,COMPLICATIONS:, None.,BLOOD TRANSFUSIONS: , None.,INFECTIONS: , None.,SIGNIFICANT LAB AND X-RAY: , On admission hemoglobin and hematocrit was 10.5 and 32.8 respectively.",,,
urine,urine,Pee is the liquid waste made by your kidneys.,19,17.59,33,Renal Disease - Discharge Summary | Pyelonephritis - Discharge Summary | Otitis Media - Discharge Summary,"Denies any bowel or bladder loss, although he reports very little urine output secondary to his end-stage renal disease.",,,
elevated,elevated,Higher than usual.,19,17.59,29,Kawasaki Disease - Discharge Summary | Discharge Summary - Urology & Nephrology | ER Report - Chest Pain & Fever,"ADMITTING DIAGNOSIS: , Kawasaki disease.,DISCHARGE DIAGNOSIS:, Kawasaki disease, resolving.,HOSPITAL COURSE:, This is a 14-month-old baby boy Caucasian who came in with presumptive diagnosis of Kawasaki with fever for more than 5 days and conjunctivitis, mild arthritis with edema, rash, resolving and with elevated neutrophils and thrombocytosis, elevated CRP and ESR.",,,
chest pain,chest pain,Feeling of discomfort in the front of the body spanning from neck to upper belly.,19,17.59,26,Leiomyosarcoma | Hip Surgery - Discharge Summar | GI Bleed - Discharge Summary,"Upon admission, the patient reported an approximate two-week history of dyspnea on exertion and some mild chest pain.",,,
past medical history,PAST MEDICAL HISTORY,A record of previous health issues that could affect your medical treatment.,19,17.59,23,Otitis Media - Discharge Summary | Knee Surgery - Discharge Summary | Hysterectomy - Discharge Summary - 2,"He was noted to have some increased workup of breathing and parents returned to the office on the day of admission.,PAST MEDICAL HISTORY: , Significant for being born at 33 weeks' gestation with a birth weight of 5 pounds and 1 ounce.,PHYSICAL EXAMINATION: , On exam, he was moderately ill appearing and lethargic.",,,
laboratory,LABORATORY,A laboratory is a place where tests and experiments are conducted.,19,17.59,22,Urology Discharge Summary | Otitis Media - Discharge Summary | Knee Surgery - Discharge Summary,",LABORATORY DATA:, BUN 19 and creatinine 1.1.",,,
antibiotics,antibiotics,Medicine that kills bacteria.,18,16.67,31,Pyelonephritis - Discharge Summary | Prematurity - Discharge Summary | Pneumonia & COPD - Discharge Summary,Her symptoms responded to IV antibiotics and she remained clinically stable.,,,
potassium,potassium,A vital element that supports the heart and body's functions.,18,16.67,23,Pancreatic Mass - Discharge Summary | Lap Chole - Discharge Summary | Goldenhar Syndrome - Discharge Summary,"His sodium was 132, potassium 4.1, chloride 95, CO2 27, BUN of 8 with a creatinine of 0.3.",,,
shortness of breath,shortness of breath,Struggling to catch your breath.,18,16.67,22,Pneumonia & COPD - Discharge Summary | Leiomyosarcoma | Hip Surgery - Discharge Summar,"Acute renal failure on chronic renal failure on admission, now resolved.,HISTORY OF PRESENT ILLNESS:, Briefly, this is 73-year-old white male with history of multiple hospital admissions for COPD exacerbation and pneumonia who presented to the emergency room on 04/23/08, complaining of severe shortness of breath.",,,
chronic,chronic,A long-lasting or recurring health issue.,17,15.74,42,Pneumonia & COPD - Discharge Summary | Pneumonia - Discharge Summary | Laryngitis - Discharge,"Chronic obstructive pulmonary disease (COPD) exacerbation.,3.",,,
vomiting,vomiting,When food or liquid from your stomach comes back up and out through your mouth.,17,15.74,29,Lap Chole - Discharge Summary | Hip Surgery - Discharge Summar | Gastroenteritis - Discharge Summary,"q.8 hours for nausea and vomiting, Pepcid 20 mg p.o.",,,
low,low,Just means not very high — below average.,17,15.74,27,TAH - Discharge Summary | Renal Disease - Discharge Summary | Pneumonia & COPD - Discharge Summary,"On discharge, hemoglobin and hematocrit 7.9 and 25.2.,HOSPITAL COURSE AND TREATMENT: ,The patient was admitted to the surgical suite and taken to the operating room on 6/10/2009 where a total abdominal hysterectomy (TAH) with low intraoperative complication was performed.",,,
oral,oral,Oral means something you take by mouth.,17,15.74,20,Speech Therapy - Discharge Summary - 2 | Pancreatic Mass - Discharge Summary | Knee Arthroplasty - Discharge Summary,"We did complete an oral mechanism examination and clinical swallow evaluation, which showed her swallowing to be within functional limits.",,,
heent,HEENT,"A medical check-up that includes examining the head, eyes, ears, nose, and throat.",17,15.74,18,Prematurity - Discharge Summary | Otitis Media - Discharge Summary | Mastoiditis - Discharge Summary,"She was treated for approximately 24 hours with phototherapy and the bilirubin on October 15, 2003 was 3.4.,FEEDING: , The infant has had some difficulty with feeding, but at the time of discharge, she is taking approximately 30 mL every feeding and is taking Formula or breast milk, that is, ___ 24 calories per ounce.,PHYSICAL EXAMINATION:, ,VITAL SIGNS: At discharge, reveals a well-developed infant whose temperature is 98.3, pulse 156, respirations 35, her weight is 1779 g (1% below her birthweight).,HEENT: Head is normocephalic.",,,
sodium,sodium,Sodium is a type of element that supports the functionality of the heart and other body parts.,17,15.74,17,Pancreatic Mass - Discharge Summary | Lap Chole - Discharge Summary | Goldenhar Syndrome - Discharge Summary,"His sodium was 132, potassium 4.1, chloride 95, CO2 27, BUN of 8 with a creatinine of 0.3.",,,
dose,dose,A dose is the specific amount of medicine or radiation administered at once.,16,14.81,27,Prematurity - Discharge Summary | Otitis Media - Discharge Summary | Pneumonia - Discharge Summary,"Group B streptococcus culture was positive on September 29, 2003, and betamethasone was given 1 dose prior to delivery.",,,
