medical_term,example_matched_text,plain_language_explanation,document_count,document_frequency_percent,total_occurrence_count,sample_names,example_sentence,manual_decision,manual_reason,reviewer_notes
symptoms,symptoms,Symptoms are changes in the body or mind caused by a disease that can be noticed by the person experiencing them and others.,25,23.15,31,Urology Discharge Summary | Renal Disease - Discharge Summary | Pyelonephritis - Discharge Summary,"PROCEDURES:, Cystourethroscopy and transurethral resection of prostate.,COMPLICATIONS:, None.,ADMITTING DIAGNOSIS:, Difficulty voiding.,HISTORY:, This 67-year old Hispanic male patient was admitted because of enlarged prostate and symptoms of bladder neck obstruction.",,,
hematocrit,Hematocrit,Hematocrit measures the proportion of red blood cells in the blood.,23,21.3,29,Urology Discharge Summary | Pancreatic Mass - Discharge Summary | Knee Surgery - Discharge Summary,"Blood group was A, Rh positive, Hemoglobin 13, Hematocrit 32.1, Prothrombin time 12.6 seconds, PTT 37.1.",,,
outpatient,outpatient,Getting medical care without staying overnight in a hospital.,22,20.37,37,Speech Therapy - Discharge Summary - 2 | Urology Discharge Summary | Speech Therapy - Discharge Summary - 1,"The patient was initially authorized for 12 outpatient speech therapy sessions, but once again she only attended 9.",,,
blood pressure,blood pressure,Blood pressure is the pressure of blood pushing against the walls of the arteries.,22,20.37,36,Mastoiditis - Discharge Summary | Knee Surgery - Discharge Summary | Lap Chole - Discharge Summary,"well.,DISCHARGE PHYSICAL EXAMINATION:,GENERAL: The patient is alert, in no respiratory distress.,VITAL SIGNS: His temperature is 97.6, heart rate 83, blood pressure 105/57, respiratory rate 16 on room air.,HEENT: Right ear shows no redness.",,,
bowel,bowel,The intestines in your belly that break down food.,22,20.37,35,Renal Disease - Discharge Summary | Prematurity - Discharge Summary | Otitis Media - Discharge Summary,"Denies any bowel or bladder loss, although he reports very little urine output secondary to his end-stage renal disease.",,,
creatinine,creatinine,Creatinine is a byproduct of muscle activity that the kidneys filter out of the blood; high levels can indicate kidney problems.,21,19.44,30,Urology Discharge Summary | Pancreatic Mass - Discharge Summary | Otitis Media - Discharge Summary,",LABORATORY DATA:, BUN 19 and creatinine 1.1.",,,
chest x-ray,Chest x-ray,A chest x-ray is a photo of your insides taken to see what's going on in your chest.,21,19.44,28,Urology Discharge Summary | Otitis Media - Discharge Summary | Pneumonia & COPD - Discharge Summary,"Chest x-ray calcified old granulomatous disease, otherwise normal.",,,
postoperative,postoperative,"""Postoperative means after surgery.""",20,18.52,47,TAH - Discharge Summary | Post Thyroidectomy - Discharge Summary | Mullerian Adenosarcoma,"On the 1st postoperative day, the patient was afebrile and all vital signs were stable.",,,
bilateral,Bilateral,Having two sides or parts on the body or an organ.,20,18.52,35,Otitis Media - Discharge Summary | Pneumonia & COPD - Discharge Summary | Intrauterine Pregnancy - Discharge Summary,"Bilateral otitis media.,2.",,,
hospitalization,hospitalization,Being admitted to and staying in a hospital.,20,18.52,30,Pneumonia & COPD - Discharge Summary | Post Thyroidectomy - Discharge Summary | Leiomyosarcoma,"The patient made slow, but steady improvement over the course of his hospitalization.",,,
abdominal,abdominal,Related to the stomach area.,20,18.52,28,TAH - Discharge Summary | Pancreatic Mass - Discharge Summary | Mullerian Adenosarcoma,"Extensive adenomyosis by pathological report.,OPERATION PERFORMED: , On 6/10/2009 total abdominal hysterectomy (TAH).,COMPLICATIONS:, None.,BLOOD TRANSFUSIONS: , None.,INFECTIONS: , None.,SIGNIFICANT LAB AND X-RAY: , On admission hemoglobin and hematocrit was 10.5 and 32.8 respectively.",,,
urine,urine,Pee is the liquid waste made by your kidneys.,19,17.59,33,Renal Disease - Discharge Summary | Pyelonephritis - Discharge Summary | Otitis Media - Discharge Summary,"Denies any bowel or bladder loss, although he reports very little urine output secondary to his end-stage renal disease.",,,
elevated,elevated,Higher than usual.,19,17.59,29,Kawasaki Disease - Discharge Summary | Discharge Summary - Urology & Nephrology | ER Report - Chest Pain & Fever,"ADMITTING DIAGNOSIS: , Kawasaki disease.,DISCHARGE DIAGNOSIS:, Kawasaki disease, resolving.,HOSPITAL COURSE:, This is a 14-month-old baby boy Caucasian who came in with presumptive diagnosis of Kawasaki with fever for more than 5 days and conjunctivitis, mild arthritis with edema, rash, resolving and with elevated neutrophils and thrombocytosis, elevated CRP and ESR.",,,
chest pain,chest pain,Feeling of discomfort in the front of the body spanning from neck to upper belly.,19,17.59,26,Leiomyosarcoma | Hip Surgery - Discharge Summar | GI Bleed - Discharge Summary,"Upon admission, the patient reported an approximate two-week history of dyspnea on exertion and some mild chest pain.",,,
past medical history,PAST MEDICAL HISTORY,A record of previous health issues that could affect your medical treatment.,19,17.59,23,Otitis Media - Discharge Summary | Knee Surgery - Discharge Summary | Hysterectomy - Discharge Summary - 2,"He was noted to have some increased workup of breathing and parents returned to the office on the day of admission.,PAST MEDICAL HISTORY: , Significant for being born at 33 weeks' gestation with a birth weight of 5 pounds and 1 ounce.,PHYSICAL EXAMINATION: , On exam, he was moderately ill appearing and lethargic.",,,
antibiotics,antibiotics,Medicine that kills bacteria.,18,16.67,31,Pyelonephritis - Discharge Summary | Prematurity - Discharge Summary | Pneumonia & COPD - Discharge Summary,Her symptoms responded to IV antibiotics and she remained clinically stable.,,,
potassium,potassium,A vital element that supports the heart and body's functions.,18,16.67,23,Pancreatic Mass - Discharge Summary | Lap Chole - Discharge Summary | Goldenhar Syndrome - Discharge Summary,"His sodium was 132, potassium 4.1, chloride 95, CO2 27, BUN of 8 with a creatinine of 0.3.",,,
shortness of breath,shortness of breath,Struggling to catch your breath.,18,16.67,22,Pneumonia & COPD - Discharge Summary | Leiomyosarcoma | Hip Surgery - Discharge Summar,"Acute renal failure on chronic renal failure on admission, now resolved.,HISTORY OF PRESENT ILLNESS:, Briefly, this is 73-year-old white male with history of multiple hospital admissions for COPD exacerbation and pneumonia who presented to the emergency room on 04/23/08, complaining of severe shortness of breath.",,,
chronic,chronic,A long-lasting or recurring health issue.,17,15.74,42,Pneumonia & COPD - Discharge Summary | Pneumonia - Discharge Summary | Laryngitis - Discharge,"Chronic obstructive pulmonary disease (COPD) exacerbation.,3.",,,
vomiting,vomiting,When food or liquid from your stomach comes back up and out through your mouth.,17,15.74,29,Lap Chole - Discharge Summary | Hip Surgery - Discharge Summar | Gastroenteritis - Discharge Summary,"q.8 hours for nausea and vomiting, Pepcid 20 mg p.o.",,,
low,low,Just means not very high — below average.,17,15.74,27,TAH - Discharge Summary | Renal Disease - Discharge Summary | Pneumonia & COPD - Discharge Summary,"On discharge, hemoglobin and hematocrit 7.9 and 25.2.,HOSPITAL COURSE AND TREATMENT: ,The patient was admitted to the surgical suite and taken to the operating room on 6/10/2009 where a total abdominal hysterectomy (TAH) with low intraoperative complication was performed.",,,
oral,oral,Oral means something you take by mouth.,17,15.74,20,Speech Therapy - Discharge Summary - 2 | Pancreatic Mass - Discharge Summary | Knee Arthroplasty - Discharge Summary,"We did complete an oral mechanism examination and clinical swallow evaluation, which showed her swallowing to be within functional limits.",,,
heent,HEENT,"A medical check-up that includes examining the head, eyes, ears, nose, and throat.",17,15.74,18,Prematurity - Discharge Summary | Otitis Media - Discharge Summary | Mastoiditis - Discharge Summary,"She was treated for approximately 24 hours with phototherapy and the bilirubin on October 15, 2003 was 3.4.,FEEDING: , The infant has had some difficulty with feeding, but at the time of discharge, she is taking approximately 30 mL every feeding and is taking Formula or breast milk, that is, ___ 24 calories per ounce.,PHYSICAL EXAMINATION:, ,VITAL SIGNS: At discharge, reveals a well-developed infant whose temperature is 98.3, pulse 156, respirations 35, her weight is 1779 g (1% below her birthweight).,HEENT: Head is normocephalic.",,,
sodium,sodium,Sodium is a type of element that supports the functionality of the heart and other body parts.,17,15.74,17,Pancreatic Mass - Discharge Summary | Lap Chole - Discharge Summary | Goldenhar Syndrome - Discharge Summary,"His sodium was 132, potassium 4.1, chloride 95, CO2 27, BUN of 8 with a creatinine of 0.3.",,,
edema,Edema,Swelling in the body caused by too much fluid.,16,14.81,22,Multiple Medical Problems - Discharge Summary | Knee Surgery - Discharge Summary | Kawasaki Disease - Discharge Summary,"Edema.,DISCHARGE DIAGNOSES:,1.",,,
complications,COMPLICATIONS,Complications are issues that arise because of a disease or its treatment.,16,14.81,20,TAH - Discharge Summary | Urology Discharge Summary | Post Thyroidectomy - Discharge Summary,"Extensive adenomyosis by pathological report.,OPERATION PERFORMED: , On 6/10/2009 total abdominal hysterectomy (TAH).,COMPLICATIONS:, None.,BLOOD TRANSFUSIONS: , None.,INFECTIONS: , None.,SIGNIFICANT LAB AND X-RAY: , On admission hemoglobin and hematocrit was 10.5 and 32.8 respectively.",,,
surgical,surgical,Surgical means relating to operations and procedures performed on the body.,16,14.81,20,TAH - Discharge Summary | Post Thyroidectomy - Discharge Summary | Leiomyosarcoma,"On discharge, hemoglobin and hematocrit 7.9 and 25.2.,HOSPITAL COURSE AND TREATMENT: ,The patient was admitted to the surgical suite and taken to the operating room on 6/10/2009 where a total abdominal hysterectomy (TAH) with low intraoperative complication was performed.",,,
bun,BUN,A measure of nitrogen in blood that shows how well the kidneys are functioning.,16,14.81,17,Urology Discharge Summary | Pancreatic Mass - Discharge Summary | Otitis Media - Discharge Summary,",LABORATORY DATA:, BUN 19 and creatinine 1.1.",,,
bilaterally,bilaterally,On both sides.,15,13.89,25,Prematurity - Discharge Summary | Otitis Media - Discharge Summary | Pneumonia & COPD - Discharge Summary,Red reflex is elicited bilaterally.,,,
glucose,glucose,Sugar in the blood that gives energy to the body.,15,13.89,24,Otitis Media - Discharge Summary | Neonatal Discharge Summary - 1 | Knee Surgery - Discharge Summary,"Cranial nerves II through XII are grossly intact.,LABORATORY FINDINGS: , He had electrolytes, BUN and creatinine, and glucose all of which were within normal limits.",,,
medical,medical,Related to sickness or treatment.,15,13.89,19,TAH - Discharge Summary | Speech Therapy - Discharge Summary - 1 | ORIF - Discharge Summary,"Severe menometrorrhagia unresponsive to medical therapy.,2.",,,
operating room,operating room,A place where doctors do surgeries.,15,13.89,19,TAH - Discharge Summary | ORIF - Discharge Summary | Hysterectomy - Discharge Summary - 2,"On discharge, hemoglobin and hematocrit 7.9 and 25.2.,HOSPITAL COURSE AND TREATMENT: ,The patient was admitted to the surgical suite and taken to the operating room on 6/10/2009 where a total abdominal hysterectomy (TAH) with low intraoperative complication was performed.",,,
wound,wound,A wound is a cut or break in the skin or body caused by injury or surgery.,14,12.96,48,TAH - Discharge Summary | Post Thyroidectomy - Discharge Summary | Gastric Bypass Summary,"On the 4th postoperative day, the patient was complaining of pain in her back and abdomen as well as incisional wound tenderness.",,,
coronary artery,coronary artery,Arteries that bring blood to your heart.,14,12.96,27,Neonatal Discharge Summary - 1 | Multiple Medical Problems - Discharge Summary | Falls - Discharge Summary,"The lab showing normal antegrade flow across the right coronary artery as well as the left main and left anterior descending coronary artery, then the circumflex coronary artery.,CNS:, Infant had a head ultrasound done to rule out intracranial abnormalities and intracranial hemorrhage.",,,
aspirin,Aspirin,"A drug used for pain relief, reducing fever and inflammation, and lowering the risk of heart attack.",14,12.96,20,Renal Disease - Discharge Summary | Pneumonia & COPD - Discharge Summary | Kawasaki Disease - Discharge Summary,Aspirin 81 mg p.o.,,,
respiratory,respiratory,Related to breathing or the lungs and airways.,13,12.04,35,Pneumonia & COPD - Discharge Summary | ER Report - Chest Pain & Fever | Discharge Summary - Peripheral vascular disease,"Acute respiratory on chronic respiratory failure secondary to chronic obstructive pulmonary disease exacerbation.,5.",,,
pneumonia,pneumonia,Pneumonia is a serious lung infection.,13,12.04,29,Otitis Media - Discharge Summary | Pneumonia & COPD - Discharge Summary | Pneumonia - Discharge Summary,Chest x-ray was ordered as well with 2 views to evaluate for a possible pneumonia.,,,
consult,consult,To ask a doctor for advice or talk with them.,13,12.04,17,Pneumonia - Discharge Summary | Lap Chole - Discharge Summary | Discharge Summary - Lymphoma,"We will consult her rheumatologist as to whether to continue her methotrexate, which we held this past Friday.",,,
postoperatively,postoperatively,After surgery.,13,12.04,17,Neck Pain - Discharge Summary | Knee Surgery - Discharge Summary | Hysterectomy - Discharge Summary - 1,"The patient underwent liver surgery and postoperatively her main issue was that of some degree of on and off right shoulder pain and some operative site soreness, which was treated well with IV morphine.",,,
x-ray,X-RAY,A picture showing what's going on inside your body.,13,12.04,17,TAH - Discharge Summary | Pneumonia - Discharge Summary | Knee Arthroplasty - Discharge Summary,"Extensive adenomyosis by pathological report.,OPERATION PERFORMED: , On 6/10/2009 total abdominal hysterectomy (TAH).,COMPLICATIONS:, None.,BLOOD TRANSFUSIONS: , None.,INFECTIONS: , None.,SIGNIFICANT LAB AND X-RAY: , On admission hemoglobin and hematocrit was 10.5 and 32.8 respectively.",,,
fevers,fevers,A fever is when your body temperature goes above 98.6 degrees Fahrenheit.,13,12.04,16,Otitis Media - Discharge Summary | Pneumonia - Discharge Summary | Mullerian Adenosarcoma,"He has been taking Tylenol and Advil to help decrease the fevers, but the fever has continued to rise.",,,
calcium,Calcium,Calcium is a mineral that keeps your teeth and bones strong and helps your heart and nerves function correctly.,13,12.04,14,Neonatal Discharge Summary - 1 | Multiple Medical Problems - Discharge Summary | Goldenhar Syndrome - Discharge Summary,Calcium challenge has been done.,,,
tablet,tablet,A tablet is a pill containing medicine in solid form.,12,11.11,26,TAH - Discharge Summary | Multiple Medical Problems - Discharge Summary | Lap Chole - Discharge Summary,Motrin 600 mg tablets 1 tablet p.o.,,,
congestive,Congestive,Related to or caused by blockage or buildup in a part of the body.,12,11.11,23,Renal Disease - Discharge Summary | ORIF - Discharge Summary | Multiple Medical Problems - Discharge Summary,"Congestive heart failure.,4.",,,
heart failure,heart failure,The heart struggles to pump blood effectively in heart failure.,12,11.11,23,Renal Disease - Discharge Summary | ORIF - Discharge Summary | Multiple Medical Problems - Discharge Summary,"Congestive heart failure.,4.",,,
mri,MRI,A medical imaging test that takes pictures of the inside of the body.,12,11.11,23,Neurology - Discharge Summary | Leiomyosarcoma | Discharge Summary - Urology,He underwent an MRI to rule out extension of the contusion or the possibility of a bleed and the MRI of the brain without contrast revealed findings consistent with contusion of the orbital surface of the frontal lobes bilaterally near the interhemispheric fissure.,,,
bladder,bladder,A bladder is a sac in your body that holds pee.,12,11.11,19,Urology Discharge Summary | Renal Disease - Discharge Summary | Knee Surgery - Discharge Summary,"PROCEDURES:, Cystourethroscopy and transurethral resection of prostate.,COMPLICATIONS:, None.,ADMITTING DIAGNOSIS:, Difficulty voiding.,HISTORY:, This 67-year old Hispanic male patient was admitted because of enlarged prostate and symptoms of bladder neck obstruction.",,,
tablets,tablets,Pills that have medicine in a solid form.,12,11.11,18,TAH - Discharge Summary | Knee Surgery - Discharge Summary | Lap Chole - Discharge Summary,Motrin 600 mg tablets 1 tablet p.o.,,,
ultrasound,ultrasound,Using sound waves to take pictures inside the body.,12,11.11,18,Neonatal Discharge Summary - 1 | Lap Chole - Discharge Summary | Hysterectomy - Discharge Summary - 1,Abdominal ultrasound showed gaseous distention without signs of obstruction.,,,
ct scan,CT scan,A CT scan is a detailed x-ray that shows a clear picture inside the body.,12,11.11,16,Pancreatic Mass - Discharge Summary | Pneumonia - Discharge Summary | Mastoiditis - Discharge Summary,"A thin-slice CT scan was performed, which revealed a 4 x 3 x 2 cm pancreatic mass with involved lymph nodes and ring enhancing lesions consistent with liver metastases.",,,
primary care physician,primary care physician,A primary care physician is a doctor who takes care of your general health and treats a wide range of health conditions.,12,11.11,14,Speech Therapy - Discharge Summary - 1 | Mastoiditis - Discharge Summary | Leiomyosarcoma,"The patient was instructed to talk to the primary care physician about removal of her feeding tube.,2.",,,
moderate,moderate,"In the middle, not too much or too little.",12,11.11,13,Speech Therapy - Discharge Summary - 1 | Otitis Media - Discharge Summary | Lap Chole - Discharge Summary,"She has made great strides; however, with her receptive communication, she is able to read words as well as short phrases and able to point to named objects and answer simple-to-moderate complex yes-no questions.",,,
ct,CT,CT is a type of special x-ray that creates detailed images of the inside of the body.,11,10.19,24,Neurology - Discharge Summary | Leiomyosarcoma | Multiple Medical Problems - Discharge Summary,CT of the brain revealed contusion of the frontal lobe near the falx.,,,
intact,intact,Not broken or harmed.,11,10.19,21,Otitis Media - Discharge Summary | Knee Surgery - Discharge Summary | Knee Osteoarthrosis - Discharge Summary,"Cranial nerves II through XII are grossly intact.,LABORATORY FINDINGS: , He had electrolytes, BUN and creatinine, and glucose all of which were within normal limits.",,,
chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease is a chronic lung condition that makes it hard to breathe.,11,10.19,20,Pneumonia & COPD - Discharge Summary | Gastroenteritis - Discharge Summary | Falls - Discharge Summary,"Chronic obstructive pulmonary disease (COPD) exacerbation.,3.",,,
infection,infection,Getting sick from germs is what an infection is.,11,10.19,18,Otitis Media - Discharge Summary | Discharge Summary - Peripheral vascular disease | Discharge Summary - Nephrology,"White blood cell count was 8.6 with 61% neutrophils, 21% lymphocytes, 17% monocytes, suggestive of a viral infection.",,,
synthroid,Synthroid,Medication used to raise thyroid hormones.,11,10.19,14,Post Thyroidectomy - Discharge Summary | Multiple Medical Problems - Discharge Summary | Knee Surgery - Discharge Summary,"She was given prescription for Vicodin for pain and Synthroid thyroid hormone, and otherwise the appropriate wound care instructions per my routine wound care sheet.",,,
auscultation,auscultation,Listening to the sounds inside your body.,11,10.19,11,Prematurity - Discharge Summary | Knee Surgery - Discharge Summary | Knee Osteoarthrosis - Discharge Summary,"Nose and throat are patent without palatal defect.,NECK: Supple without clavicular fracture.,LUNGS: Clear to auscultation.,HEART: Regular rate without murmur, click or gallop present.,EXTREMITIES: Pulses are 2/4 for brachial and femoral.",,,
heart rate,heart rate,A heart rate shows how quickly or slowly your heart is beating.,11,10.19,11,Mastoiditis - Discharge Summary | Hip Surgery - Discharge Summar | ESRD - Discharge Summary,"well.,DISCHARGE PHYSICAL EXAMINATION:,GENERAL: The patient is alert, in no respiratory distress.,VITAL SIGNS: His temperature is 97.6, heart rate 83, blood pressure 105/57, respiratory rate 16 on room air.,HEENT: Right ear shows no redness.",,,
rehabilitation,Rehabilitation,Helping the body recover and get healthy by improving its functions and abilities.,10,9.26,16,Speech Therapy - Discharge Summary - 1 | Occupational Therapy Discharge Summary | Laryngitis - Discharge,"HISTORY: , The patient is a 67-year-old female, was referred to Medical Center's Outpatient Rehabilitation Department for skilled speech therapy to improve her functional communication skills and swallowing function and safety.",,,
complaints,complaints,A problem or sickness that a person talks about.,10,9.26,14,Leiomyosarcoma | GI Bleed - Discharge Summary | Gastric Bypass Summary,"She had no further complaints throughout the hospitalization with any shortness of breath or chest pain.,3.",,,
lisinopril,lisinopril,A drug for treating high blood pressure.,10,9.26,14,Renal Disease - Discharge Summary | Pneumonia & COPD - Discharge Summary | GI Bleed - Discharge Summary,"and lisinopril 10 mg daily secondary to his hypertension, congestive heart failure with dilated cardiomyopathy and end-stage renal disease.",,,
prednisone,Prednisone,A medication that lowers the body's immune response and inflammation.,10,9.26,14,Pneumonia & COPD - Discharge Summary | Pneumonia - Discharge Summary | Hypothermia - Discharge Summary,Prednisone 40 mg p.o.,,,
albuterol,albuterol,Medication that helps with asthma by making it easier to breathe.,10,9.26,13,Otitis Media - Discharge Summary | Discharge Summary - Respiratory Distress | Discharge Summary - Peripheral vascular disease,"His lungs remained clear, but because of the need for O2, we instituted albuterol aerosols every 6 hours to help maintain good lung function.",,,
echocardiogram,Echocardiogram,A heart picture taken using sound waves.,10,9.26,13,Kawasaki Disease - Discharge Summary | Lap Chole - Discharge Summary | Discharge Summary - 9,"Echocardiogram was also done, which was negative.",,,
signs,signs,"When you see signs, it means there might be a disease present.",10,9.26,13,Pancreatic Mass - Discharge Summary | Neurology - Discharge Summary | Neonatal Discharge Summary - 1,",PLAN: , The patient should return for repeat ERCP if there are signs of stent occlusion such as fever, increased bilirubin, worsening pain.",,,
patient.,patient.,Someone getting medical attention.,10,9.26,12,Pancreatic Mass - Discharge Summary | Otitis Media - Discharge Summary | Multiple Medical Problems - Discharge Summary,I discussed the potentials of chemotherapy with patient.,,,
pulse,pulse,Your pulse is the beat of your heart that you can feel on your body.,10,9.26,12,Prematurity - Discharge Summary | Knee Surgery - Discharge Summary | Lap Chole - Discharge Summary,"She was treated for approximately 24 hours with phototherapy and the bilirubin on October 15, 2003 was 3.4.,FEEDING: , The infant has had some difficulty with feeding, but at the time of discharge, she is taking approximately 30 mL every feeding and is taking Formula or breast milk, that is, ___ 24 calories per ounce.,PHYSICAL EXAMINATION:, ,VITAL SIGNS: At discharge, reveals a well-developed infant whose temperature is 98.3, pulse 156, respirations 35, her weight is 1779 g (1% below her birthweight).,HEENT: Head is normocephalic.",,,
cbc,CBC,A test that checks the different types of cells in your blood to assess your health and detect diseases.,10,9.26,11,Otitis Media - Discharge Summary | Neonatal Discharge Summary | Knee Surgery - Discharge Summary,"CBC with differential, blood culture, electrolytes, BUN, and creatinine, glucose, UA, and urine culture all were ordered.",,,
platelet,platelet,A platelet is a blood cell that helps with clotting.,10,9.26,11,Pancreatic Mass - Discharge Summary | Leiomyosarcoma | ER Report - Chest Pain & Fever,"At the time of discharge, the patient's white count was 9.4, hemoglobin 10.8, hematocrit 32 with a MCV of 79, platelet count of 585,000.",,,
lab,LAB,A lab is a place where tests and research are conducted.,10,9.26,10,TAH - Discharge Summary | Neonatal Discharge Summary - 1 | Leiomyosarcoma,"Extensive adenomyosis by pathological report.,OPERATION PERFORMED: , On 6/10/2009 total abdominal hysterectomy (TAH).,COMPLICATIONS:, None.,BLOOD TRANSFUSIONS: , None.,INFECTIONS: , None.,SIGNIFICANT LAB AND X-RAY: , On admission hemoglobin and hematocrit was 10.5 and 32.8 respectively.",,,
social history,social history,"Information about a person's family, work, and hobbies that could affect their health.",10,9.26,10,Mullerian Adenosarcoma | Hip Surgery - Discharge Summar | Discharge Summary - Urology & Nephrology,"Family history, social history, and psychosocial needs per the social worker.",,,
pulmonary,pulmonary,About the lungs.,9,8.33,23,Leiomyosarcoma | ESRD - Discharge Summary | Discharge Summary - COPD,"History of pulmonary embolism.,3.",,,
hour,hour,A unit of time equaling 60 minutes.,9,8.33,20,Otitis Media - Discharge Summary | Multiple Medical Problems - Discharge Summary | Neonatal Discharge Summary,"Gave D5 and quarter of normal saline at 45 mL per hour, which was just slightly above maintenance rate to help with hydration.",,,
diarrhea,diarrhea,"Having loose, watery poop with cramps and bloating.",9,8.33,18,Hip Surgery - Discharge Summar | Gastroenteritis - Discharge Summary | ER Report - Chest Pain & Fever,"She denies any nausea, vomiting, or diarrhea, but reports as being constipated with the last bowel movement being on 08/26/2007 prior to surgery.",,,
placement,placement,Placing something in a specific location.,9,8.33,18,Pancreatic Mass - Discharge Summary | Discharge Summary - Urology & Nephrology | Discharge Summary - Multiple Trauma,The patient underwent ERCP on 04/04/2007 with placement of a stent.,,,
depression,depression,"Feeling really, really sad and not wanting to do things anymore.",9,8.33,17,Psychiatric Discharge Summary | Hip Surgery - Discharge Summar | Intrauterine Pregnancy - Discharge Summary,"The patient has a history of depression versus bipolar disorder, last hospitalized in Pierce County in 2008, but without recent treatment.",,,
inr,INR,INR measures how fast blood clots for patients taking blood thinners.,9,8.33,14,Knee Surgery - Discharge Summary | Knee Arthroplasty - Discharge Summary | Knee Osteoarthrosis - Discharge Summary,The DVT prophylaxis was maintained with Lovenox 40 mg subcu daily until the INR was greater than 1.7 and it was discontinued on 08/30/2007 when the INR was 1.92 within therapeutic range.,,,
lower extremity,lower extremity,"The lower extremity is the part of your body that includes your leg, ankle, and foot.",9,8.33,13,ORIF - Discharge Summary | Knee Arthroplasty - Discharge Summary | Discharge Summary - Peripheral vascular disease,"On day #12, was transferred to ABCD.,DISCHARGE INSTRUCTIONS: , The patient is to be transferred to ABCD after open reduction and internal fixation of right tibial plateau fracture and partial medial meniscectomy.,DIET:, Regular.,ACTIVITY AND LIMITATIONS: , Nonweightbearing to the right lower extremity.",,,
incision,incision,A surgical cut made in the body to operate.,9,8.33,11,Knee Surgery - Discharge Summary | Knee Arthroplasty - Discharge Summary | Knee Osteoarthrosis - Discharge Summary,"No organomegaly.,EXTREMITIES: The right knee incision is intact.",,,
ambulating,ambulating,Being able to walk and move around.,9,8.33,10,TAH - Discharge Summary | Hysterectomy - Discharge Summary - 2 | Hysterectomy - Discharge Summary - 1,"On the 3rd postoperative day, the patient was ambulating with difficulty and tolerating clear liquid diet.",,,
doses,doses,The amount of medicine or radiation received at once.,9,8.33,10,Leiomyosarcoma | Knee Surgery - Discharge Summary | ESRD - Discharge Summary,"She underwent a CTA, which showed no evidence of pulmonary embolism and the patient was started on prophylactic doses of Lovenox at 40 mg a day.",,,
platelets,platelets,Tiny blood cells that help form clots to stop bleeding.,9,8.33,10,Leiomyosarcoma | Knee Surgery - Discharge Summary | Hip Surgery - Discharge Summar,"She did not require transfusion of red blood cells or platelets; however, on 07/26/2008 her ANC did dip to 900 and she was placed on neutropenic diet.",,,
