sample_name,medical_term,matched_text,plain_language_explanation,occurrence_count_in_document,example_sentence
TAH - Discharge Summary,abdominal,abdominal,Related to the stomach area.,3,"Extensive adenomyosis by pathological report.,OPERATION PERFORMED: , On 6/10/2009 total abdominal hysterectomy (TAH).,COMPLICATIONS:, None.,BLOOD TRANSFUSIONS: , None.,INFECTIONS: , None.,SIGNIFICANT LAB AND X-RAY: , On admission hemoglobin and hematocrit was 10.5 and 32.8 respectively."
Neonatal Discharge Summary - 1,abdominal ultrasound,Abdominal ultrasound,A way to look inside the stomach using sound waves to create pictures.,1,Abdominal ultrasound showed gaseous distention without signs of obstruction.
Discharge Summary - 3,ablation,ablation,"Destroying tissue as part of a treatment using methods like heat, cold, electricity, radiation, laser, or sound waves.",1,"Chronic atrial fibrillation with prior ablation done on Coumadin treatment.,3."
Discharge Summary - 1,abnormality,abnormality,An abnormality is something that is unusual or different from what is typical.,1,"On 3/26/2006, MRI/MRA of the neck and brain, with and without contrast: 1) Changes consistent with an infarct involving the right basal ganglia and deep white matter of the left parietal lobe, as described above; 2) Diffuse smooth narrowing of the left middle cerebral artery that may be a congenital abnormality."
Discharge Summary - 17,abnormality,abnormality,An abnormality is something that is unusual or different from what is typical.,1,"Electrolyte abnormality with hyponatremia and hypokalemia - corrected.,4."
Abscess with Cellulitis - Discharge Summary,abscess,Abscess,It's a sore filled with pus that happens when your body is fighting off an infection.,2,"ADMITTING DIAGNOSIS:, Abscess with cellulitis, left foot.,DISCHARGE DIAGNOSIS:, Status post I&D, left foot.,PROCEDURES:, Incision and drainage, first metatarsal head, left foot with culture and sensitivity.,HISTORY OF PRESENT ILLNESS:, The patient presented to Dr."
Discharge Summary - Peripheral vascular disease,abscess,abscess,It's a sore filled with pus that happens when your body is fighting off an infection.,1,"Status post open incision and drainage of an intestinal abscess at an unknown point.,DETERMINATION: , Status post right below-knee amputation.,OPERATIONS PERFORMED:,1."
Chronic Abscesses - Discharge Summary,abscesses,abscesses,It's like a pocket of pus that forms when your body is fighting an infection.,4,"Multiple extensive subcutaneous abscesses, right thigh.,2."
CHF & Pleural Effusion - Discharge Summary,ace inhibitor,ACE inhibitor,A drug that helps lower high blood pressure.,1,"Y recommended a beta-blocker with an ACE inhibitor; therefore, the lisinopril was discontinued."
Chest Pain & Respiratory Insufficiency,ace inhibitor,ACE inhibitor,A drug that helps lower high blood pressure.,1,"She also is on an ACE inhibitor.,So her discharge meds are as follows:,1."
Discharge Summary - 3,ace inhibitor,ACE inhibitor,A drug that helps lower high blood pressure.,1,"On admission her potassium had risen slightly to 5.5, and hence her ACE inhibitor had to be discontinued."
Discharge Summary - 9,ace inhibitors,ACE inhibitors,Medication that widens blood vessels and lowers blood pressure.,1,"The patient was treated with ACE inhibitors, diuretics, Aldactone, and Lasix, and improved."
Discharge Summary - 7,acetaminophen,acetaminophen,Acetaminophen is a medicine that helps with pain and lowers fever.,1,"The patient was given ibuprofen and acetaminophen during her hospitalization, and her fever resolved with these measures.,On the BAL fluid cell count, the patient only had 5 WBCs and 5 RBCs on the differential."
Discharge Summary - Peripheral vascular disease,acetaminophen,Acetaminophen,Acetaminophen is a medicine that helps with pain and lowers fever.,2,"Acetaminophen 325 mg daily.,2."
Discharge Summary - Lymphoma,acquired,acquired,Something not passed down but gained later in life.,1,"There was concern that she may have a pneumonia, which was treated with vancomycin for possible hospital acquired pneumonia; however, upon further review of the blood cultures improved, chest x-ray consistent with atelectasis and normal saturations that this was likely secondary to increased fluids associated with methotrexate and atelectasis from being confined to bed.,8."
Multiple Medical Problems - Discharge Summary,acquired,acquired,Something not passed down but gained later in life.,2,"Hospital-acquired pneumonia.,4."
Discharge Summary - Urology & Nephrology,active,active,Happening right now.,1,"He also has history of being a 34-week preemie twin.,ALLERGIES: , No known allergies.,FAMILY HISTORY: , Unremarkable without any bleeding or anesthetic problems.,SOCIAL HISTORY: , The patient lives at home with his parents, 2 brothers, and a sister.,IMMUNIZATIONS:, Up-to-date.,MEDICATIONS: , On admission was Macrodantin, hydralazine, and enalapril.,PHYSICAL EXAMINATION:,GENERAL: The patient is an active little boy.,HEENT: The head and neck exam was grossly normal."
Neonatal Discharge Summary,active,active,Happening right now.,1,"Mother came with preterm contractions, with progressive active labor in spite of the terbutaline and magnesium sulfate."
Otitis Media - Discharge Summary,active,Active,Happening right now.,1,Active bowel sounds.
Pneumonia - Discharge Summary,active,active,Happening right now.,1,"They were less than 88% when active; at rest, varied between 88% and 92%."
Discharge Summary - Urology,activities of daily living,activities of daily living,"Things people do every day like eating, bathing, and getting dressed.",1,"He tolerated a regular diet with no difficulties in his activities of daily living, and his Foley was removed on the day of discharge.,He was started on ciprofloxacin, Colace, and Lasix after the transurethral resection and continued these for a short course."
Discharge Summary - 17,acute care,acute care,Short-term treatment for severe injury or illness.,1,"Z.,CONDITION ON DISCHARGE: , Clinically improved, however, requiring acute care.,CURRENT MEDICATIONS: ,Include those on admission combined with IV Flagyl 500 mg every 8 hours and Levaquin 500 mg daily.,HOSPITAL SUMMARY: , This is one of several admissions for this 68-year-old female who over the initial 48 hours preceding admission had a complaint of low-grade fever, confusion, dizziness, and a nonproductive cough."
Back Pain - Discharge Summary,acute on chronic,Acute on chronic,A sudden and severe worsening of a long-standing issue.,1,Acute on chronic back pain.
Death Summary,acute on chronic,Acute on chronic,A sudden and severe worsening of a long-standing issue.,2,"Acute on chronic renal failure.,3."
Death Summary - 2,acute on chronic,Acute on chronic,A sudden and severe worsening of a long-standing issue.,1,"Acute on chronic respiratory failure.,4."
Discharge Summary,acute on chronic,Acute on chronic,A sudden and severe worsening of a long-standing issue.,1,"Acute on chronic renal failure, improved.,4."
Discharge Summary - Hip Surgery,acute pain,Acute pain,"Sudden, intense pain that doesn't last long.",2,"Hip arthroscopy.,POSTOP COMORBIDITIES: , Postop acute blood loss anemia requiring transfusion and postop pain.,PROCEDURES DURING THIS HOSPITALIZATION:, Right total hip arthroplasty and removal of hardware.,CONSULTS:, Acute pain team consult.,DISPOSITION: , Home.,HISTORY OF PRESENT ILLNESS AND HOSPITAL COURSE:, For details, please refer to clinic notes and OP notes."
Knee Surgery - Discharge Summary,addendum,addendum,"An addendum is an additional item, typically added to the end of a document.",1,"An INR is to be obtained on 09/03/2007 and should the Coumadin dose be changed, an addendum will be dictated to accompany this discharge summary."
Death Summary - 1,adenopathy,adenopathy,Swelling or inflammation of the lymph nodes.,1,"The patient had a CT scan of the chest, which revealed a left pleural effusion, extensive mediastinal mass, left hilar adenopathy, causing complete obstruction of the left lower lobe and the lingula and the left pulmonary vein, and the multiple nodules on the right side of his chest."
GI Bleed - Discharge Summary,adenopathy,adenopathy,Swelling or inflammation of the lymph nodes.,1,"No adenopathy.,LUNGS: Clear with good air movement.,HEART: Irregularly regular."
Mullerian Adenosarcoma,adenosarcoma,adenosarcoma,A type of tumor that has both gland and supporting tissue.,2,"PRINCIPAL DIAGNOSIS: , Mullerian adenosarcoma."
ER Report - Chest Pain & Fever,adjunct,adjunct,An adjunct is an extra treatment used alongside the primary one.,1,Consider Byetta as an adjunct to her diabetic treatment and efforts to weight control.
Abscess with Cellulitis - Discharge Summary,administration,administration,Administering medication or treatment to someone.,1,"The patient was continued on Ancef 2 g IV via PICC line and home health administration of IV antibiotics.,DISCHARGE INSTRUCTIONS: , Included keeping the foot elevated with long periods of rest."
Hypothermia - Discharge Summary,administration,administration,Administering medication or treatment to someone.,1,A cortisol level was obtained prior to administration of hydrocortisone.
Pneumonia - Discharge Summary,adrenal,adrenal,Small glands above the kidneys that produce hormones to regulate body functions.,2,"Suspected mild stress-induced adrenal insufficiency.,HOSPITAL COURSE: , This very independent 79-year old had struggled with cough, fevers, weakness, and chills for the week prior to admission."
Hypothermia - Discharge Summary,adrenal insufficiency,Adrenal insufficiency,Adrenal insufficiency is when your body doesn't produce enough specific hormones due to issues with the adrenal glands.,2,"Adrenal insufficiency.,6."
Pneumonia - Discharge Summary,adrenal insufficiency,adrenal insufficiency,Adrenal insufficiency is when your body doesn't produce enough specific hormones due to issues with the adrenal glands.,1,"Suspected mild stress-induced adrenal insufficiency.,HOSPITAL COURSE: , This very independent 79-year old had struggled with cough, fevers, weakness, and chills for the week prior to admission."
Leiomyosarcoma,adriamycin,Adriamycin,a medication for fighting specific cancers.,2,"Cycle six of CIVI-CAD (Cytoxan, Adriamycin, and DTIC) from 07/22/2008 to 07/29/2008.,2."
Chest Pain & Respiratory Insufficiency,advair,Advair,A medicine used for asthma and COPD symptoms.,1,"Advair 500/50 puff b.i.d.,10."
Discharge Summary - 7,advair,Advair,A medicine used for asthma and COPD symptoms.,1,"Advair 100/50, 1 puff b.i.d.,3."
Falls - Discharge Summary,advair,Advair,A medicine used for asthma and COPD symptoms.,1,"p.r.n., Lasix 80 mg daily, Isordil 10 mg t.i.d., KCl 20 mEq b.i.d., lactulose 10 g daily, Cozaar 50 mg daily, Synthroid 75 mcg daily, Singulair 10 mg daily, Lumigan one drop both eyes at bed time, NitroQuick p.r.n., Pravachol 20 mg daily, Feldene 20 mg daily, Paxil 20 mg daily, Minipress 2 mg daily, Provera p.r.n., Advair 250/50 one puff b.i.d., Senokot one tablet b.i.d., Timoptic one drop OU daily, and verapamil 80 mg b.i.d.,ALLERGIES: , None.,ACTIVITY: , Per PT.,FOLLOW-UP: , The patient discharged to a skilled nursing facility for further rehabilitation."
Gastroenteritis - Discharge Summary,advair,Advair,A medicine used for asthma and COPD symptoms.,1,"He can resume his home medications of Prandin, Actos, Lipitor, Glucophage, Benicar, and Advair."
Pneumonia & COPD - Discharge Summary,advair,Advair,A medicine used for asthma and COPD symptoms.,1,"Advair 250/50 mcg, 1 puff b.i.d."
Otitis Media - Discharge Summary,advil,Advil,Advil is a medicine for mild pain and fever.,1,"He has been taking Tylenol and Advil to help decrease the fevers, but the fever has continued to rise."
Otitis Media - Discharge Summary,aerosols,aerosols,"Aerosols are like a spray that you can breathe in, such as medicines.",1,"His lungs remained clear, but because of the need for O2, we instituted albuterol aerosols every 6 hours to help maintain good lung function."
Psychiatric Discharge Summary,affective disorder,affective disorder,"It's a group of mood conditions like anxiety and depression, with symptoms ranging from mild to severe.",1,"Overall, insight into her illness remained impaired.,HISTORY AND HOSPITAL COURSE: , The patient is a 22-year-old female with a history of bipolar affective disorder, was initially admitted for evaluation of increasing mood lability, disorganization, and inappropriate behaviors."
Psychiatric Discharge Summary,against medical advice,against medical advice,When a patient is told to stay in the hospital but decides to leave.,1,"The patient remained disorganized, but was given a voluntary drop by prosecution against medical advice when she went to court on 01/11/2010."
Renal Disease - Discharge Summary,against medical advice,against medical advice,When a patient is told to stay in the hospital but decides to leave.,1,"The patient stated that he was reluctant to proceed with the test and he was afraid of needles and the risks associated with the test although the procedure was explained to the patient and the risks of the procedure were quit low, the patient proceeded to discharge himself against medical advice.,DISCHARGE INSTRUCTIONS/MEDICATIONS:,The patient left AMA."
Discharge Summary - 17,aggressive,aggressive,Spreading quickly and growing fast.,1,Her systolic blood pressure was 60-70 mmHg despite rather aggressive IV fluid management up to 250 mL an hour.
Discharge Summary - 3,aggressive,aggressive,Spreading quickly and growing fast.,1,"Her bronchospasm also responded to the aggressive bronchodilation and steroid therapy.,DISCHARGE MEDICATIONS:, Prednisolone 60 mg orally once daily, albuterol 2.5 mg nebulized every 4 hours, Atrovent Respules to be nebulized every 6 hours, Pulmicort 500 micrograms nebulized twice every 8 hours, Coumadin 5 mg orally once daily, magnesium oxide 200 mg orally once daily.,TRANSFER INSTRUCTIONS:, The patient is to be strictly kept on bi-level PAP of 15 I-PAP/E-PAP of 5 cm and FIO2 of 35% for most of the times during the day."
Discharge Summary - Hemodialysis,aggressive,aggressive,Spreading quickly and growing fast.,1,"He did have some bouts of issues with constipation on and off throughout his hospitalization, but this seemed to come under control with more aggressive management."
Discharge Summary - 18,agitation,agitation,Agitation is when someone can't calm down and stay still.,1,"After reevaluation of the patient including evaluation of the lab abnormalities it was felt that she likely had serotonin syndrome with obvious restlessness, increased bowel activity, agitation, and elevated white count and CPK."
Discharge Summary - Multiple Trauma,agitation,agitation,Agitation is when someone can't calm down and stay still.,2,He did require some Ativan for agitation.
Bronchiolitis - Discharge Summary,albuterol,albuterol,Medication that helps with asthma by making it easier to breathe.,2,"During her hospitalization, albuterol MDI was given to the patient and more for mom to learn outpatient care."
COPD & Bronchitis - Discharge Summary,albuterol,albuterol,Medication that helps with asthma by making it easier to breathe.,1,"She was placed on the usual medications that included Synthroid 0.05 mg a day, enalapril 5 mg a day, Imdur 30 mg a day, Lanoxin 0.125 mg a day, aspirin 81 mg a day, albuterol and Atrovent nebulizers q.4 h., potassium chloride 10 mEq 2 tablets per day, Lasix 40 mg a day, Humibid L.A."
CVA - Discharge Summary,albuterol,albuterol,Medication that helps with asthma by making it easier to breathe.,1,He was changed to a metered dose inhaler with albuterol.
Chest Pain & Respiratory Insufficiency,albuterol,Albuterol,Medication that helps with asthma by making it easier to breathe.,1,Albuterol p.r.n.
Discharge Summary - 2,albuterol,Albuterol,Medication that helps with asthma by making it easier to breathe.,1,"Albuterol inhaler q.i.d.,2."
Discharge Summary - 3,albuterol,albuterol,Medication that helps with asthma by making it easier to breathe.,2,"She also received steroids, prednisolone 60 mg, and breathing treatments with albuterol, Ipratropium and her bronchodilator therapy was also optimized with theophylline."
Discharge Summary - Mesothelioma,albuterol,albuterol,Medication that helps with asthma by making it easier to breathe.,1,"She was discharged with albuterol nebulizer treatments, treatments were to be q.i.d."
Discharge Summary - Peripheral vascular disease,albuterol,albuterol,Medication that helps with asthma by making it easier to breathe.,2,"albuterol and infusion of Lasix, resulting in significant urine output."
Discharge Summary - Respiratory Distress,albuterol,albuterol,Medication that helps with asthma by making it easier to breathe.,1,"The patient was seen and admitted through the emergency room.,He was placed on the hospitalist system and was started on continuous nebulized albuterol secondary to his respiratory distress."
Otitis Media - Discharge Summary,albuterol,albuterol,Medication that helps with asthma by making it easier to breathe.,1,"His lungs remained clear, but because of the need for O2, we instituted albuterol aerosols every 6 hours to help maintain good lung function."
Anterior Cervical Discectomy & Fusion - Discharge Summary,alignment,alignment,To get things in a straight line.,1,"Postop x-ray showed good alignment and positioning of the cages, plate, and screws."
Discharge Summary - 15,alkaline,alkaline,A substance that can mix with water and reduce the acidity of acids.,1,"Sodium 137, potassium 3.4, chloride 103, CO2 20, BUN 21, creatinine 0.9, and anion gap 14, glucose 90, total protein 8.1, albumin 4.5, calcium 8.8, bilirubin 1.5, AST 26, ALT 16, alkaline phosphatase 118."
Discharge Summary,allergic,Allergic,"Reacting to something foreign to your body, resulting in symptoms like a rash or difficulty breathing.",1,"Allergic rhinitis.,HOSPITAL COURSE:, This 83-year-old patient had some cold symptoms, was treated as bronchitis with antibiotics."
Neck Pain - Discharge Summary,allograft,Allograft,A tissue transplant from a different person.,1,"Allograft.,COMPLICATIONS:, None.,COURSE ON ADMISSION: , This is the case of a very pleasant 41-year-old Caucasian female who was seen in clinic as an initial consultation on 09/13/07 complaining of intense neck pain radiating to the right shoulder blade to top of the right shoulder in to the right upper extremity to the patient's hand."
Discharge Summary - 2,altered mental status,Altered mental status,When your brain isn't working right and it affects how you think and act.,1,"Altered mental status, less somnolent, likely secondary to medications, resolved.,5."
Discharge Summary - 18,alternative,alternative,Another choice or possibility.,1,Cymbalta has been recommended as a good alternative medication for her.
Discharge Summary - Hip Surgery,alternative,alternative,Another choice or possibility.,1,"After being explained the risks, benefits, alternative options, and possible outcomes of surgery, she was agreeable and consented to proceed and therefore on the day of her admission, she was sent to the operating room where she underwent a right total hip arthroplasty and removal of hardware without any complications."
Speech Therapy - Discharge Summary - 1,alternative,alternative,Another choice or possibility.,2,"An alternative communication device was discussed with the patient and her husband, but at this time, the patient does not want to utilize a communication device."
Pneumonia & COPD - Discharge Summary,alveolar,alveolar,Alveolar means pertaining to the small air sacs in the lungs.,1,"There was also more pronounced patchy alveolar opacity, which appeared to be, ""mass like"" in the right suprahilar region."
Gastrointestinal Bleed - Discharge Summary,am,am,AM means the morning.,1,"I am hesitant to use Prilosec or Protonix because of his history of pancreatitis associated with Prilosec.,The patient's PT/INR was 1.03, PTT 25.8."
Laryngitis - Discharge,am,am,AM means the morning.,1,"We did not complete his __________ ratio during his last session; so, I am unsure if he had met his short-term goal number 2.,4."
Cardio/Pulmo Discharge Summary,ambulance,ambulance,It's a vehicle that rushes people to the hospital during emergencies.,1,"On the day of admission, the patient had the sudden onset of severe dyspnea and called an ambulance."
D&C - Discharge Summary,ambulate,Ambulate,To ambulate means to walk or move around.,1,Ambulate with assistance at home only.
Hemiarthroplasty - Discharge Summary,ambulate,ambulate,To ambulate means to walk or move around.,1,"Activity, ambulate as tolerated with posterior hip precautions."
Intrauterine Pregnancy - Discharge Summary,ambulate,ambulate,To ambulate means to walk or move around.,1,She was able to ambulate and void.
Knee Arthroplasty - Discharge Summary,ambulate,ambulate,To ambulate means to walk or move around.,1,"Working with PT, she was able to ambulate with minimal assistance."
Pneumonia & COPD - Discharge Summary,ambulate,ambulate,To ambulate means to walk or move around.,1,"The patient was able to participate with physical therapy, able to ambulate from his bed to the bathroom, and was able to tolerate a dysphagia 2 diet."
Discharge Summary - 10,ambulated,ambulated,Ambulated means to walk or move around.,1,He ambulated frequently.
Discharge Summary - Gastric Bypass,ambulated,ambulated,Ambulated means to walk or move around.,1,She has ambulated and had no complaints.
Back Pain - Discharge Summary,ambulating,ambulating,Being able to walk and move around.,1,"Deep vein thrombosis prophylaxis will be maintained by the patient, continue to engage in his therapies including ambulating in the halls and doing leg exercises as well.,5."
D&C - Discharge Summary,ambulating,ambulating,Being able to walk and move around.,1,The patient is now ambulating without difficulty and tolerating her diet.
Discharge Summary - 10,ambulating,ambulating,Being able to walk and move around.,1,"He was passing gas frequently, had excellent urine output, and was ambulating frequently without any issues.,DISCHARGE CONDITION:, Stable.,DISPOSITION: , Discharged to home.,DISCHARGE INSTRUCTIONS: , The patient was discharged to home with instructions for maintaining a soft diet."
Discharge Summary - 4,ambulating,ambulating,Being able to walk and move around.,1,"By postoperative date #2, the patient had been out of bed and ambulating in the hallways."
Discharge Summary - Cerebral Palsy,ambulating,ambulating,Being able to walk and move around.,1,"24 hours later, the Foley catheter was removed and a bladder scan demonstrated 60 cc of residual urine after approximately eight hours.,At the time of this dictation, the patient was ambulating minimally, however, not sufficiently to resume independent living."
Discharge Summary - Gastric Bypass,ambulating,ambulating,Being able to walk and move around.,1,"pain medicine, ambulating without difficulty, tolerating a liquid diet."
Hysterectomy - Discharge Summary - 1,ambulating,ambulating,Being able to walk and move around.,1,"She is ambulating well, tolerating a regular diet."
Hysterectomy - Discharge Summary - 2,ambulating,ambulating,Being able to walk and move around.,1,"She is ambulating well and tolerating a regular diet.,Routine postoperative instructions given and understood."
TAH - Discharge Summary,ambulating,ambulating,Being able to walk and move around.,2,"On the 3rd postoperative day, the patient was ambulating with difficulty and tolerating clear liquid diet."
Abscess with Cellulitis - Discharge Summary,ambulation,ambulation,Walking or moving around.,2,The patient is to wear surgical shoe at all times for ambulation and to avoid excessive ambulation.
BRCA-2 mutation,ambulation,ambulation,Walking or moving around.,1,"The patient regained bowel function and was discharged on the morning of the fourth postoperative day.,OPERATIONS AND PROCEDURES: , Total abdominal hysterectomy/bilateral salpingo-oophorectomy with resection of ovarian fossa peritoneum en bloc on July 25, 2006.,PATHOLOGY: , A 105-gram uterus without dysplasia or cancer.,CONDITION ON DISCHARGE: , Stable.,PLAN: ,The patient will remain at rest initially with progressive ambulation after."
Mullerian Adenosarcoma,ambulation,ambulation,Walking or moving around.,1,"She was discharged on the morning of the seventh postoperative day.,OPERATIONS: , July 25, 2006: Total abdominal hysterectomy, bilateral salpingo-oophorectomy.,DISCHARGE CONDITION: , Stable., ,PLAN: , The patient will remain at rest initially with progressive ambulation thereafter."
Discharge Summary - ATV Accident,amnestic,amnestic,Unable to recall events.,1,He was not amnestic to the event.
Neonatal Discharge Summary - 1,amniotic fluid,amniotic fluid,The liquid that surrounds a developing baby in the womb.,1,Prenatal course was complicated by low amniotic fluid index and hypertension.
Discharge Summary - 5,amounts,amounts,Amounts refer to quantities of something.,1,She was followed for hemorrhagic cystitis with urine dipsticks and only showed trace amounts of blood in the urine throughout the admission.
Neonatal Discharge Summary - 1,amounts,amounts,Amounts refer to quantities of something.,1,"Feeding amounts at the time of discharge was between 35 to 50 mL per feed and weight was 1797 grams.,RESPIRATIONS: , At the time of admission, baby was not having any apnea spells, no bradycardia or desaturations, was saturating well on room air and continued to do well on room air until the time of discharge.,HYPOGLYCEMIA: , Baby began to experience hypoglycemic episodes on 07/24/2006."
Back Pain - Discharge Summary,amoxicillin,AMOXICILLIN,A medication for bacterial infections.,1,"B, the patient's oncologist.,ALLERGIES: , PENICILLIN, AMOXICILLIN, CEPHALOSPORIN, DOXYCYCLINE, IVP DYE, IODINE, and SULFA, all cause HIVES.,Additionally, the patient reports that he has HIVES when he comes in contact with SAP FROM THE MANGO TREE, and therefore, he avoids any mango product at all.,PAST MEDICAL HISTORY: , Status post right orchiectomy secondary to his testicular cancer 18 years ago approximately 1989, GERD, irritable bowel syndrome, seasonal asthma (fall and spring) triggered by postnasal drip, history of bilateral carpal tunnel syndrome, and status post excision of abdominal teratoma and incisional hernia.,FAMILY HISTORY:, Noncontributory.,SOCIAL HISTORY: , The patient is employed in the finance department."
Discharge Summary - 16,amoxicillin,amoxicillin,A medication for bacterial infections.,1,Their usual doctor prescribed amoxicillin over the phone.
Discharge Summary - Respiratory Distress,amoxicillin,amoxicillin,A medication for bacterial infections.,2,"Given these results, which she is to treat the pneumonia as bacterial and discharge the child with amoxicillin and Zithromax.,He was taken off of continuous and he was not on room air all night."
Discharge Summary - 8,anaerobic,anaerobic,Anaerobic means not needing oxygen to survive.,1,"The microbiology laboratory stated that the Gram-negative rod appeared to be anaerobic, thus raising the possibility of organisms like bacteroides."
Discharge Summary - Respiratory Failure,anasarca,Anasarca,Intense swelling throughout the body due to various medical issues.,2,"Anasarca improving.,5."
Intrauterine Pregnancy - Discharge Summary,anatomy,anatomy,Anatomy is all about learning how the body is put together.,1,"There was normal placenta, normal pelvic anatomy."
Discharge Summary - Lymphoma,anc,ANC,A type of white blood cell in the blood that fights infections.,1,"On the day of discharge, the patient was pancytopenic with white count of 0.7, ANC of 500, hemoglobin 8.5, hematocrit 24.8, and platelet count 38, 000."
