medical_term,plain_language_explanation,filtering_method
adenotonsillitis,Sore throat and swollen glands in the neck causing difficulty swallowing.,README-based filtered glossary with task-specific patient-facing relevance filtering
adhd,"ADHD is a condition where people have trouble focusing and may be hyperactive, making it difficult to complete everyday tasks.",README-based filtered glossary with task-specific patient-facing relevance filtering
adherence,Following the doctor's directions precisely when taking medications.,README-based filtered glossary with task-specific patient-facing relevance filtering
adhesive,Glue-like sticky substance.,README-based filtered glossary with task-specific patient-facing relevance filtering
adipose,Fat cells located directly underneath the skin.,README-based filtered glossary with task-specific patient-facing relevance filtering
adipose tissue,Fat tissue in the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
adiposis,Having a lot of fat tissue in the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
adjunct,An adjunct is an extra treatment used alongside the primary one.,README-based filtered glossary with task-specific patient-facing relevance filtering
adjuncts,An additional treatment used alongside the main treatment.,README-based filtered glossary with task-specific patient-facing relevance filtering
adjustment disorder,Adjustment disorder is when a person experiences a range of symptoms due to a stressful situation.,README-based filtered glossary with task-specific patient-facing relevance filtering
adjuvant,A substance added to a drug to help it work better.,README-based filtered glossary with task-specific patient-facing relevance filtering
adjuvant chemotherapy,Cancer drugs given after other treatments.,README-based filtered glossary with task-specific patient-facing relevance filtering
adjuvant radiation therapy,Using high-energy rays after regular cancer treatments to prevent cancer recurrence.,README-based filtered glossary with task-specific patient-facing relevance filtering
adjuvant therapy,Extra treatment to help a person after their first treatment.,README-based filtered glossary with task-specific patient-facing relevance filtering
administer,To give something to someone.,README-based filtered glossary with task-specific patient-facing relevance filtering
administration,Administering medication or treatment to someone.,README-based filtered glossary with task-specific patient-facing relevance filtering
adnexal,Adnexal means related to the ovary and Fallopian tube.,README-based filtered glossary with task-specific patient-facing relevance filtering
adrenal,Small glands above the kidneys that produce hormones to regulate body functions.,README-based filtered glossary with task-specific patient-facing relevance filtering
adrenal cortex,The outer part of the adrenal gland that produces hormones.,README-based filtered glossary with task-specific patient-facing relevance filtering
adrenal gland,Small triangle-shaped organs above the kidneys that make hormones controlling various body functions.,README-based filtered glossary with task-specific patient-facing relevance filtering
adrenal glands,Glands above the kidneys that make hormones controlling body functions like blood pressure and stress response.,README-based filtered glossary with task-specific patient-facing relevance filtering
adrenal insufficiency,Adrenal insufficiency is when your body doesn't produce enough specific hormones due to issues with the adrenal glands.,README-based filtered glossary with task-specific patient-facing relevance filtering
adrenalectomies,Surgery to remove the adrenal glands which are hormone-producing glands above the kidneys.,README-based filtered glossary with task-specific patient-facing relevance filtering
adrenalectomy,Surgery to remove the adrenal glands located near the kidneys and responsible for producing hormones.,README-based filtered glossary with task-specific patient-facing relevance filtering
adrenalectomya,Surgery to remove the adrenal glands which are hormone-producing glands above the kidneys.,README-based filtered glossary with task-specific patient-facing relevance filtering
adrenaline,"Adrenaline is a chemical in your body that amps you up, helps you cope with stress, and raises your blood pressure.",README-based filtered glossary with task-specific patient-facing relevance filtering
adrenally,Related to the glands that produce adrenaline in your body.,README-based filtered glossary with task-specific patient-facing relevance filtering
adrenals,Glands above your kidneys that make hormones regulating various bodily functions.,README-based filtered glossary with task-specific patient-facing relevance filtering
adrenocortical,Related to or produced by the outer layer of the adrenal gland.,README-based filtered glossary with task-specific patient-facing relevance filtering
adrenocorticotropic hormone,A hormone that helps regulate the adrenal glands and is produced in the pituitary gland.,README-based filtered glossary with task-specific patient-facing relevance filtering
adriamycin,a medication for fighting specific cancers.,README-based filtered glossary with task-specific patient-facing relevance filtering
advair,A medicine used for asthma and COPD symptoms.,README-based filtered glossary with task-specific patient-facing relevance filtering
advance directive,A document that outlines the medical care a person wants in case they can't speak for themselves.,README-based filtered glossary with task-specific patient-facing relevance filtering
advance directives,A legal document stating what medical treatment someone wants.,README-based filtered glossary with task-specific patient-facing relevance filtering
advanced directives,Instructions for medical care a person wants.,README-based filtered glossary with task-specific patient-facing relevance filtering
advanced life support,Giving medicine or using technology to help someone breathe and stay alive in an emergency situation.,README-based filtered glossary with task-specific patient-facing relevance filtering
adventitia,"Adventitia is the outer layer of an organ or structure, comprised of connective tissue.",README-based filtered glossary with task-specific patient-facing relevance filtering
advil,Advil is a medicine for mild pain and fever.,README-based filtered glossary with task-specific patient-facing relevance filtering
aerobic exercise,Aerobic exercise is any physical activity that makes your heart beat faster and you breathe harder.,README-based filtered glossary with task-specific patient-facing relevance filtering
aerodigestive,"Aerodigestive refers to the body parts where the respiratory and upper digestive tracts overlap, like the mouth, throat, and nose.",README-based filtered glossary with task-specific patient-facing relevance filtering
aeromonas,Aeromonas are bacteria that can make people sick.,README-based filtered glossary with task-specific patient-facing relevance filtering
aerophagia,Swallowing excessive amounts of air.,README-based filtered glossary with task-specific patient-facing relevance filtering
aerosol,"Aerosol is a fine spray or mist that can be inhaled, often used for medication delivery.",README-based filtered glossary with task-specific patient-facing relevance filtering
aerosolized,Aerosolized means something has been turned into a fine mist that can be breathed in.,README-based filtered glossary with task-specific patient-facing relevance filtering
aerosols,"Aerosols are like a spray that you can breathe in, such as medicines.",README-based filtered glossary with task-specific patient-facing relevance filtering
aetiology,What causes a disease to happen.,README-based filtered glossary with task-specific patient-facing relevance filtering
affective disorder,"It's a group of mood conditions like anxiety and depression, with symptoms ranging from mild to severe.",README-based filtered glossary with task-specific patient-facing relevance filtering
affixed,Sticking something onto something else.,README-based filtered glossary with task-specific patient-facing relevance filtering
afib,An irregular heartbeat that can make you feel tired and increase the risk of strokes.,README-based filtered glossary with task-specific patient-facing relevance filtering
aftereffects,The lingering effects of surgery or medication as time goes on.,README-based filtered glossary with task-specific patient-facing relevance filtering
against medical advice,When a patient is told to stay in the hospital but decides to leave.,README-based filtered glossary with task-specific patient-facing relevance filtering
agarose,A jelly commonly used to separate DNA or RNA fragments.,README-based filtered glossary with task-specific patient-facing relevance filtering
age-related macular degeneration,"A condition in the eye that causes vision loss, mainly with age.",README-based filtered glossary with task-specific patient-facing relevance filtering
agenesis,Agenesis is when an organ doesn't develop properly from the start.,README-based filtered glossary with task-specific patient-facing relevance filtering
aggravated,To make a problem or injury worse.,README-based filtered glossary with task-specific patient-facing relevance filtering
aggravating,Getting more annoying or irritating.,README-based filtered glossary with task-specific patient-facing relevance filtering
aggregation,Aggregation means stuff clumped or grouped together.,README-based filtered glossary with task-specific patient-facing relevance filtering
aggression,Harming or attacking others.,README-based filtered glossary with task-specific patient-facing relevance filtering
aggressive,Spreading quickly and growing fast.,README-based filtered glossary with task-specific patient-facing relevance filtering
aggressive lymphoma,A type of cancer that grows and spreads rapidly and causes severe symptoms.,README-based filtered glossary with task-specific patient-facing relevance filtering
agitated,Being extremely restless and unable to calm down.,README-based filtered glossary with task-specific patient-facing relevance filtering
agitation,Agitation is when someone can't calm down and stay still.,README-based filtered glossary with task-specific patient-facing relevance filtering
agonist,A substance that binds to cells to produce an effect.,README-based filtered glossary with task-specific patient-facing relevance filtering
agoraphobia,Being super scared of being stuck in open spaces or places where you can't easily leave.,README-based filtered glossary with task-specific patient-facing relevance filtering
agraphia,When someone can't write due to a brain injury.,README-based filtered glossary with task-specific patient-facing relevance filtering
ailments,Sicknesses or health problems.,README-based filtered glossary with task-specific patient-facing relevance filtering
air space,"A potential disease in the lungs' airways, visible as bright spots on X-rays.",README-based filtered glossary with task-specific patient-facing relevance filtering
airspace,Trouble in the lungs that can show up as bright spots on X-rays.,README-based filtered glossary with task-specific patient-facing relevance filtering
airway obstruction,Something blocking you from breathing properly in your lungs.,README-based filtered glossary with task-specific patient-facing relevance filtering
ajcc staging system,A way to figure out how much cancer has spread in a person's body.,README-based filtered glossary with task-specific patient-facing relevance filtering
akinesia,Akinesia means having reduced body movements.,README-based filtered glossary with task-specific patient-facing relevance filtering
akinesis,Akinesis means not moving.,README-based filtered glossary with task-specific patient-facing relevance filtering
alagille syndrome,A rare genetic disorder that causes defects in the tubes carrying fluid out of the liver.,README-based filtered glossary with task-specific patient-facing relevance filtering
alanine,A type of amino acid.,README-based filtered glossary with task-specific patient-facing relevance filtering
albinism,"Having skin, eyes, and hair with little to no pigment.",README-based filtered glossary with task-specific patient-facing relevance filtering
albumins,A liver-made protein found in high levels in blood.,README-based filtered glossary with task-specific patient-facing relevance filtering
albuminuria,"Albuminuria means having ""protein in urine.""",README-based filtered glossary with task-specific patient-facing relevance filtering
albuterol,Medication that helps with asthma by making it easier to breathe.,README-based filtered glossary with task-specific patient-facing relevance filtering
alcholic hepatitis,A liver disease resulting from excessive alcohol consumption.,README-based filtered glossary with task-specific patient-facing relevance filtering
alcohol dependence,Alcohol dependence is when someone can't stop drinking and constantly wants alcohol.,README-based filtered glossary with task-specific patient-facing relevance filtering
alcohol liver,Liver damage caused by drinking too much alcohol.,README-based filtered glossary with task-specific patient-facing relevance filtering
alcoholic cirrhosis,Alcoholic Cirrhosis is when the liver gets severely messed up by drinking too much for a long time.,README-based filtered glossary with task-specific patient-facing relevance filtering
alcoholic hepatitis,A liver condition from excessive alcohol consumption.,README-based filtered glossary with task-specific patient-facing relevance filtering
alcoholism,Drinking too much alcohol and being unable to stop.,README-based filtered glossary with task-specific patient-facing relevance filtering
aldosterone,Aldosterone is a hormone from the adrenal glands that regulates salt levels in the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
alendronate sodium,A medication for treating specific bone issues.,README-based filtered glossary with task-specific patient-facing relevance filtering
alexia,Having trouble understanding or reading things due to a brain injury or disorder.,README-based filtered glossary with task-specific patient-facing relevance filtering
algorhythm,An algorhythm is like a step-by-step plan for making choices.,README-based filtered glossary with task-specific patient-facing relevance filtering
algorithm,An algorithm is like a recipe telling a computer or person how to solve a problem step by step.,README-based filtered glossary with task-specific patient-facing relevance filtering
algorithms,Algorithms are like step-by-step instructions for solving problems.,README-based filtered glossary with task-specific patient-facing relevance filtering
alignment,To get things in a straight line.,README-based filtered glossary with task-specific patient-facing relevance filtering
alimentary,"The digestive system, where food is processed from eating to excretion.",README-based filtered glossary with task-specific patient-facing relevance filtering
alkali,"A chemical that can dissolve in water, neutralizing acids in the body.",README-based filtered glossary with task-specific patient-facing relevance filtering
alkaline,A substance that can mix with water and reduce the acidity of acids.,README-based filtered glossary with task-specific patient-facing relevance filtering
allegra,A medicine that helps relieve allergy symptoms.,README-based filtered glossary with task-specific patient-facing relevance filtering
allele,An allele is a specific piece of genetic information in your DNA at a certain spot.,README-based filtered glossary with task-specific patient-facing relevance filtering
allelic,Variants of a gene that result in different levels of gene expression.,README-based filtered glossary with task-specific patient-facing relevance filtering
allelic imbalance,A variation in how much different versions of a gene are expressed.,README-based filtered glossary with task-specific patient-facing relevance filtering
allergic,"Reacting to something foreign to your body, resulting in symptoms like a rash or difficulty breathing.",README-based filtered glossary with task-specific patient-facing relevance filtering
allograft,A tissue transplant from a different person.,README-based filtered glossary with task-specific patient-facing relevance filtering
allografts,A tissue transplant from a different person.,README-based filtered glossary with task-specific patient-facing relevance filtering
alloimmune,When the body attacks new red blood cells or tissues during a transfusion or transplant.,README-based filtered glossary with task-specific patient-facing relevance filtering
alloimmunity,An immune response to foreign tissues like in blood transfusions or transplants.,README-based filtered glossary with task-specific patient-facing relevance filtering
allotransplant,A transplant where tissue is taken from a donor who is not genetically identical to the recipient.,README-based filtered glossary with task-specific patient-facing relevance filtering
alopecia totalis,"When someone has alopecia totalis, it means they have lost all the hair on their head.",README-based filtered glossary with task-specific patient-facing relevance filtering
alpha fetoprotein,"A protein in the blood used to check for diseases, including some cancers and spina bifida in unborn children.",README-based filtered glossary with task-specific patient-facing relevance filtering
alpha hemolytic streptococcus,A group of bacteria that can make you sick.,README-based filtered glossary with task-specific patient-facing relevance filtering
alport syndrome,It's a family inherited kidney disease with possible hearing and vision issues.,README-based filtered glossary with task-specific patient-facing relevance filtering
alprazolam,An anxiety medication that helps with panic attacks.,README-based filtered glossary with task-specific patient-facing relevance filtering
als,ALS is a disease that makes muscles weak and gets worse as time passes.,README-based filtered glossary with task-specific patient-facing relevance filtering
altace,"A medication for high blood pressure, heart failure, or heart attack recovery.",README-based filtered glossary with task-specific patient-facing relevance filtering
alteplase,"A drug that helps dissolve blood clots, especially useful in heart attacks.",README-based filtered glossary with task-specific patient-facing relevance filtering
altered mental status,When your brain isn't working right and it affects how you think and act.,README-based filtered glossary with task-specific patient-facing relevance filtering
alternative,Another choice or possibility.,README-based filtered glossary with task-specific patient-facing relevance filtering
alternative medicine,Other types of treatments used instead of or alongside traditional medical treatments.,README-based filtered glossary with task-specific patient-facing relevance filtering
alveolar,Alveolar means pertaining to the small air sacs in the lungs.,README-based filtered glossary with task-specific patient-facing relevance filtering
alveoli,Tiny air sacs in the lungs where oxygen and carbon dioxide exchange happens.,README-based filtered glossary with task-specific patient-facing relevance filtering
alveoloplasty,Fixing the jawbone to make dentures fit better.,README-based filtered glossary with task-specific patient-facing relevance filtering
alveolus,A small hollow in the jaw where a tooth's root is anchored.,README-based filtered glossary with task-specific patient-facing relevance filtering
am,AM means the morning.,README-based filtered glossary with task-specific patient-facing relevance filtering
amalgams,Silver-colored fillings for teeth.,README-based filtered glossary with task-specific patient-facing relevance filtering
amantadine,A drug that helps treat infections from the flu.,README-based filtered glossary with task-specific patient-facing relevance filtering
amber,Orange-yellow color.,README-based filtered glossary with task-specific patient-facing relevance filtering
ambulance,It's a vehicle that rushes people to the hospital during emergencies.,README-based filtered glossary with task-specific patient-facing relevance filtering
ambulate,To ambulate means to walk or move around.,README-based filtered glossary with task-specific patient-facing relevance filtering
ambulated,Ambulated means to walk or move around.,README-based filtered glossary with task-specific patient-facing relevance filtering
ambulating,Being able to walk and move around.,README-based filtered glossary with task-specific patient-facing relevance filtering
ambulation,Walking or moving around.,README-based filtered glossary with task-specific patient-facing relevance filtering
ambulatory care,Medical care that doesn't require a hospital stay.,README-based filtered glossary with task-specific patient-facing relevance filtering
ambulatory surgery,A surgery where you go home the same day.,README-based filtered glossary with task-specific patient-facing relevance filtering
amenorrhea,When a woman's monthly period is absent or stops.,README-based filtered glossary with task-specific patient-facing relevance filtering
amino acid,Amino acids are building blocks that our body uses to create proteins.,README-based filtered glossary with task-specific patient-facing relevance filtering
amino acids,Amino acids are like building blocks for proteins in our bodies.,README-based filtered glossary with task-specific patient-facing relevance filtering
aminoacid,Amino acids are building blocks for proteins in the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
aminoglycoside,An aminoglycoside is a type of medicine that is effective for treating certain bacterial infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
aminoglycosides,Aminoglycosides are drugs used to fight certain bacterial infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
aminopenicillins,A group of medications that help fight off certain bacterial infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
amitriptylin,"A medication for treating depression, anxiety, sleep issues, and pain.",README-based filtered glossary with task-specific patient-facing relevance filtering
amitriptyline,"A medication for depression that can also help with anxiety, sleep issues, and pain.",README-based filtered glossary with task-specific patient-facing relevance filtering
aml1,A gene linked to certain cancers that impact blood cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
amlodipine,Amlodipine is medication that helps improve blood flow and decrease blood pressure.,README-based filtered glossary with task-specific patient-facing relevance filtering
amnestic,Unable to recall events.,README-based filtered glossary with task-specific patient-facing relevance filtering
amniocentesis,Taking fluid from around the baby before it's born to check for problems.,README-based filtered glossary with task-specific patient-facing relevance filtering
amniotic fluid,The liquid that surrounds a developing baby in the womb.,README-based filtered glossary with task-specific patient-facing relevance filtering
amorphous,Amorphous means it doesn't have a clear or regular shape.,README-based filtered glossary with task-specific patient-facing relevance filtering
amounts,Amounts refer to quantities of something.,README-based filtered glossary with task-specific patient-facing relevance filtering
amox,A medication for certain bacterial infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
amoxicillin,A medication for bacterial infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
amoxicilline,Medicine for certain infections caused by bacteria.,README-based filtered glossary with task-specific patient-facing relevance filtering
amphoteracin,A medication for fungal infections is known as amphotericin.,README-based filtered glossary with task-specific patient-facing relevance filtering
amphoteracin b,A medication for fungal infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
amphotericin,Potent medicine for fungal infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
amphotericin b,A medication used for fungal infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
ampicilin,A drug that fights bacterial infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
