sample_index,sample_name,status,text_length,detected_term_count,unique_detected_term_count,unique_detected_terms,citation_count,question_count,baseline_check_status,baseline_warning_count,baseline_warning_categories,error_message
14, ORIF - Discharge Summary ,success,2139,25,25,bronchitis; congestive; consultations; consults; diabetes mellitus type 2; dyspnea; fluid overload; fracture; heart failure; internal medicine; lower extremity; medial; medical; nebulizer; nursing; occupational therapy; operating room; partial; reduction; rehab; secretions; stabilized; stable; therapy; tibial plateau,25,6,pass,0,,
15, Pneumonia & COPD - Discharge Summary ,success,5726,68,68,advair; alveolar; ambulate; antibiotics; aspiration; aspirin; atelectatic; atrial fibrillation; benign; bilateral; bilaterally; blood cultures; cannula; chest x-ray; chronic; chronic obstructive pulmonary disease; chronic renal; clindamycin; community; community-acquired pneumonia; congestion; copd; diabetes mellitus; digoxin; diltiazem; dysphagia; emergency; episodic; essential hypertension; exacerbated,68,6,warning,1,possible_over_detection,
16, Neurology - Discharge Summary ,success,1349,17,17,bilaterally; contrast; ct; emergency; extension; falx; focal; frontal; head injury; headache; lobe; lobes; mri; neuro; neurology; signs; stable,17,6,pass,0,,
17, Occupational Therapy Discharge Summary ,success,668,13,13,caregiver; cervical; cognitive; exercise; mobility; musculoskeletal; neuromuscular; range of motion; recommendations; referral; rehabilitation; therapeutic; traumatic brain injury,13,6,pass,0,,
18, Pneumonia - Discharge Summary ,success,2191,37,37,active; adrenal; adrenal insufficiency; atypical pneumonia; azithromycin; c. difficile; chills; chronic; clinical; consult; ct scan; diffuse; etiology; fever; fevers; focal; hypoxia; infiltrates; iv; loose stools; medical history; methotrexate; outpatient; patchy; pathology; pneumonia; pneumonitis; prednisone; pulmonologist; reaction,37,6,pass,0,,
19, Post Thyroidectomy - Discharge Summary ,success,1256,21,21,complications; drain; fever; goiter; hospitalization; intravenous; postoperative; prescription; ratio; referred; risk; stable; surgery; surgical; symptomatic; synthroid; thyroid; thyroid hormone; thyroidectomy; vital signs; wound,21,6,pass,0,,
20, Mastoiditis - Discharge Summary ,success,2016,23,23,blood pressure; breath sounds; cardiac; cervical; ct scan; draining; heart rate; heent; iv; iv fluid; maximum; morphine; murmur; otic; otitis media; perfused; posterior; primary care physician; respiratory distress; respiratory rate; solution; tenderness; vital signs,23,6,pass,0,,
21, Mullerian Adenosarcoma ,success,1086,21,21,abdominal; adenosarcoma; ambulation; bilateral salpingo-oophorectomy; bowel; drainage; family history; fever; fevers; heart murmur; hysterectomy; pathology; physical exam; postoperative; postoperative course; principal; social history; social worker; stable; surgery; vagina,21,6,pass,0,,
22, Neonatal Discharge Summary - 1 ,success,3949,57,57,abdominal; abdominal ultrasound; amniotic fluid; amounts; anterior; antibiotics; apnea; bolus; bradycardia; calcium; cardiac; cardiovascular; circumflex coronary artery; cns; complicated; coronary artery; cpr; descending; disease; distention; fetal; fingersticks; gestational age; glucose; gravida; hematology; hypertension; hypoglycemia; hypoglycemic; immature,57,6,warning,1,possible_over_detection,
23, Leiomyosarcoma ,success,3498,59,59,adriamycin; anc; anticoagulation; arm; chemotherapy; chest pain; complaints; complicated; continuous; ct; ct scan; cta; cytoxan; doses; dyspnea; embolus; fevers; grade; headaches; hemoglobin; hospitalization; inflammation; infusion; intermittent; intracranial; iv; lab; margins; monitor; mri,59,6,warning,1,possible_over_detection,
24, Multiple Medical Problems - Discharge Summary ,success,5680,63,63,acquired; bactrim; basal; calcium; cbc with diff; chest x-rays; cmp; colon cancer; colonoscopy; congestive; coronary artery; ct; diabetes mellitus; disease; dosage; dyspnea; edema; endocrinologist; ferrous sulfate; fiber; gastroenterologist; gastroenterologists; gastroparesis; heart failure; hemicolectomy; hepatic flexure; hour; hyperglycemia; hypertension; hypoglycemia,63,6,warning,1,possible_over_detection,
25, Laryngitis - Discharge ,success,1786,12,12,am; chronic; exercises; hygiene; laryngitis; medical; number; outpatient; ratio; referred; rehabilitation; therapy,12,6,pass,0,,
26, Neonatal Discharge Summary ,success,2081,26,26,active; antibody; blood cultures; cbc; cpr; crp; delivery; gestation; gravida; hour; immune; iv fluids; magnesium; nicu; pediatrician; perineum; preemie; prematurity; respiratory distress; retractions; rubella; sepsis; stable; suctioned; support; vaginal,26,6,pass,0,,
27, Neck Pain - Discharge Summary ,success,1914,27,27,allograft; anterior; arm; arthrodesis; cervical; complications; decadron; degree; discectomy; dysphagia; imaging; implant; iv; morphine; nucleus; operative; persistent; postoperatively; radiating; radiculopathy; resolution; spinal; subjective; surgery; symptoms; tingling; upper extremity,27,6,pass,0,,
28, Knee Surgery - Discharge Summary ,success,6886,82,82,addendum; anion; anxiety; arm; auscultation; autologous; bilaterally; bladder; blood pressure; bowel; bun; cbc; celebrex; chemistries; chief complaint; constipation; contact dermatitis; coumadin; creatinine; degenerative joint disease; degree; diffuse; disease; doppler; doses; dvt; dvt prophylaxis; dysuria; edema; flexibility,82,6,warning,1,possible_over_detection,
29, Kawasaki Disease - Discharge Summary ,success,1566,23,23,arthritis; aspirin; cardiac; cardiology; conjunctivitis; crp; disease; echo; echocardiogram; edema; elevated; esr; fever; fevers; gi; low; membranes; presumptive; prevacid; primary care; rash; thrombocytosis; virus,23,6,pass,0,,
30, Hysterectomy - Discharge Summary - 2 ,success,1843,29,29,ambulating; biopsy; bladder; bowel; carcinoma; catheter; chest x-ray; cone; diagnostic studies; flap; general anesthesia; gravida; hemoglobin; incidental; intraoperatively; invasion; mm; motrin; operating room; pap; past medical history; pathology report; physical exam; postoperative; residual disease; therapy; tubal ligation; urinary tract infection; vaginal hysterectomy,29,6,pass,0,,
31, Lap Chole - Discharge Summary ,success,3136,62,62,2-d; abdominal; assessment; av fistula; blood culture; blood pressure; chf; cholecystectomy; cholecystitis; chronic bronchitis; congestive; consult; creatinine; cyst; dialysis; diovan; echocardiogram; ekg; emergency; end-stage renal disease; epigastric; folic acid; gallbladder; glucose; heart disease; heart failure; hemodialysis; hyperlipidemia; hypertension; iv antibiotic,62,6,warning,1,possible_over_detection,
32, Knee Arthroplasty - Discharge Summary ,success,1770,23,23,ambulate; consultations; coumadin; drainage; emergency; exercises; femoral; fever; incision; inr; lab; lower extremity; nerve block; oral; patellar; patient.; regimen; stable; tablets; therapy; tibial; total knee arthroplasty; x-ray,23,6,pass,0,,
33, Knee Osteoarthrosis - Discharge Summary ,success,1841,30,30,antibiotics; assistive devices; auscultation; cardiovascular; carotid sinus; continuous; coumadin; deep venous thrombosis; drain; dvt; gait; heent; ibuprofen; incision; initiated; inr; intact; mechanical; operating room; oral; osteoarthrosis; penicillin; postoperative; prescriptions; principal; prophylaxis; surgery; surgical; therapy; total knee arthroplasty,30,6,pass,0,,
34, Hysterectomy - Discharge Summary - 1 ,success,1200,23,23,ambulating; bladder; bowel; contraceptives; dysmenorrhea; fibroid; general anesthesia; gravida; hemoglobin; menometrorrhagia; menorrhagia; operating room; oral; postoperative; postoperatively; preoperative; reflux; surgical; therapy; tubal ligation; ultrasound; vaginal; vaginal hysterectomy,23,6,pass,0,,
35, Hemiarthroplasty - Discharge Summary ,success,1492,22,22,ambulate; aspirin; baseline; blood culture; compression; confusion; consultations; consults; dementia; dvt prophylaxis; femoral neck; fracture; hip; medical; nursing; operating room; orthopedics; posterior; precautions; rehab; stable; surgery,22,6,pass,0,,
36, Hip Surgery - Discharge Summar ,success,4626,84,84,anion; anxiety; appendectomy; arm; associated with; auscultation; bilaterally; bladder; blood pressure; bowel; bun; cardiopulmonary; cbc; celebrex; chest pain; chief complaint; constipated; coumadin; creatinine; depression; diarrhea; diffuse; drainage; dvt; dvt prophylaxis; dysuria; edema; family history; fever; frequency,84,6,warning,1,possible_over_detection,
37, Intrauterine Pregnancy - Discharge Summary ,success,1982,34,34,ambulate; anatomy; bilateral; cc; delivery; depression; elective; estimated; fetal; fever; flatus; gravida; hematocrit; intrauterine pregnancy; iron; irritable; low; motrin; operating room; past medical history; placenta; postoperative; postpartum; resolution; screening; secondary diagnosis; signs; spinal; surgery; trial,34,6,pass,0,,
38, GI Bleed - Discharge Summary ,success,2239,44,44,adenopathy; asthma; atrial fibrillation; benign; bilaterally; bowel; brown; calorie; cardiology; cbc; chest pain; chief complaint; colonoscopy; complaints; coumadin; diverticulosis; fatigue; gastritis; gastrointestinal; gi; gi bleed; heent; hemoglobin; hypercholesterolemia; hypertension; inr; insulin-dependent diabetes; lisinopril; lower extremity edema; microcytic,44,6,warning,1,possible_over_detection,
39, Hysterectomy - Discharge Summary ,success,1389,15,15,complication; complications; dysmenorrhea; dysuria; gravida; hematocrit; hemoglobin; laboratory studies; menorrhagia; monitored; pathologic; postoperatively; stable; symptoms; vaginal hysterectomy,15,6,pass,0,,
40, Hypothermia - Discharge Summary  ,success,2231,29,29,administration; adrenal insufficiency; blood cultures; chronic disease; dilantin; emergency; erythromycin; free t4; guardian; hypertension; hypothermia; iv; jugular; line; nursing home; platelets; prednisone; prognosis; residuals; seizure; sepsis; sputum; stable; syndrome; synthroid; tube feeds; urine; vital signs; white blood cell counts,29,6,pass,0,,
41, Gastric Bypass Summary ,success,1970,33,33,associated; bariatric; bariatric surgery; cardiopulmonary; comorbidities; complaints; consults; cpap; drain; drains; dvt prophylaxis; elective; fever; frequent; gastric bypass; heparin; hour; hypertension; laparoscopic; lortab; mobilization; monitored; morbid obesity; obstructive; pacu; postop; postoperative; process; sleep apnea; stable,33,6,pass,0,,
42, Gastroenteritis - Discharge Summary ,success,2457,39,39,abdominal; advair; bowel movements; calcified; chronic; chronic obstructive pulmonary disease; clostridium; crp; dehydration; diabetes type; diarrhea; dyslipidemia; etiology; gastrointestinal; gi; glucophage; granuloma; h&p; hematocrit; hemoglobin; hemoglobin and hematocrit; hemorrhoids; hypertension; inflammation; iv fluids; lab; left lower lobe; lipase; moderate; occult,39,6,pass,0,,
43, Goldenhar Syndrome - Discharge Summary  ,success,3594,52,52,abdominal; anterior; aspiration; auscultation; bilaterally; bowel; bun; cachectic; calcium; chloride; consultations; creatinine; distended; drains; emergency department; erythematous; gastroesophageal reflux; gastrostomy tube; glucose; heent; hematocrit; hemoglobin; hip; iron deficiency; lymphocytes; mcv; microglia; moderate; moderately; morphology,52,6,warning,1,possible_over_detection,
44, Gastrointestinal Bleed - Discharge Summary ,success,1570,23,23,am; aspirate; associated with; atherosclerotic; bowel; cardiovascular disease; colonoscopy; emergency; gastric; gastrointestinal; hemorrhoids; inr; iv; lesions; metoprolol; ng tube; outpatient; pancreatitis; ptt; stable; stools; synthroid; vital signs,23,6,pass,0,,
45, Discharge Summary - Urology & Nephrology  ,success,3456,58,58,active; bilaterally; blood pressure; chronic renal insufficiency; ciprofloxacin; collecting system; creatinine; cystoscopy; draining; elevated; family history; fever; flank; flu; gait; heent; hospitalization; hydralazine; hypertension; immunizations; incision; intact; kidney; laboratories; murmur; nasal; nephrostomy; neurologic; npo; obstruction,58,6,warning,1,possible_over_detection,
46, Falls - Discharge Summary ,success,2715,35,35,advair; anxiety; bowel; carotid; chest pain; chief complaint; chronic obstructive pulmonary disease; coronary artery; decline; depressed; depression; disease; edema; emergency; exercise; heent; hypercholesterolemia; hypertension; incontinence; lactulose; neurological; number; nursing; osteoarthritis; rehabilitation; seizure; senokot; stable; synthroid; tablet,35,6,pass,0,,
47, Ectopic Pregnancy - Discharge Summary ,success,1700,17,17,abdominal; bowel; cells; complications; cyst; ectopic; ectopic pregnancy; fever; gestational; hemoglobin; hemoperitoneum; iron; sonogram; surgery; therapy; titer; vaginal,17,6,pass,0,,
48, Discharge Summary - Urology ,success,2720,41,41,activities of daily living; benign prostatic hyperplasia; bilateral; biopsy; bph; ciprofloxacin; collecting system; complex; contrast; ct; cyst; cystoscopy; cysts; diagnosed; emergency; foley; hematuria; hemorrhagic cyst; hyperplasia; imaging; kidney; kidneys; laparoscopic; mri; osteoarthritis; outpatient; partial; pathology; pelvis; primary care physician,41,6,warning,1,possible_over_detection,
49, ER Report - Chest Pain & Fever ,success,4775,90,90,adjunct; appendectomy; arthritis; aspirin; associated with; auscultation; blood pressure; bowel habits; bun; calorie; cardiovascular disease; chest pain; chest x-ray; chief complaint; chloride; cholecystectomy; coronary artery; cranial nerves; creatinine; deficits; deformity; diabetes mellitus type 2; diabetes type; diarrhea; disease; distention; ectopy; effexor; ekg; elevated,90,6,warning,1,possible_over_detection,
50, ESRD - Discharge Summary ,success,3644,59,59,auscultation; bilaterally; bilirubin; blood pressure; bowel; bun; cardiovascular; chills; chronic; clubbing; coronary artery; coronary artery bypass graft; creatinine; cyanosis; diabetes mellitus; diagnosed; disease; doses; drain; edema; elevated; end-stage renal disease; esrd; family history; fevers; followed up; glucose; heart rate; hematocrit; hemodialysis,59,6,warning,1,possible_over_detection,
51, Discharge Summary - Respiratory Distress ,success,2486,40,40,albuterol; amoxicillin; antibiotics; asthma; atelectasis; basilar; bilateral; bowel; cardiovascular; cbc; continuous; crp; disease; elevated; emergency; fever; genitourinary; heent; hospitalist; hour; infiltrate; inhaled; lymphadenopathy; murmurs; oropharynx; palpation; perfused; peripherally; pneumonia; primary care,40,6,pass,0,,
52, Discharge Summary - Peripheral vascular disease ,success,4856,68,68,abscess; acetaminophen; albuterol; aspirin; atelectasis; below-knee amputation; bilateral; blood transfusion; bypass; bypass graft; c. difficile; calcium; cannula; carotid; carotid artery; chest pain; chest x-ray; chronic renal insufficiency; complicated; coronary artery; debridement; diarrhea; diffusely; disease; diverticulosis; exams; flagyl; foley catheter; grafting; home health,68,6,warning,1,possible_over_detection,
53, Discharge Summary - Respiratory Failure ,success,4262,61,61,abdominal; anasarca; appetite; auscultation; bilaterally; blood pressure; bowel; bun; calcium; cardiovascular; chloride; chronic disease; clubbing; confusion; crackles; creatinine; cyanosis; distal; edema; electrolytes; end-stage liver disease; fio2; generalized; genital; glucose; groin; heart rate; heent; hematocrit; hemoglobin,61,6,warning,1,possible_over_detection,
54, Discharge Summary - Multiple Trauma ,success,3880,58,58,agitation; anxiety; arm; baseline; brace; calcium; cervical; chronic pain; confused; confusion; decubitus; dementia; diagnosed; displacement; episodic; ferrous sulfate; forearm; fracture; fractures; generalized; head injury; hour; hypokalemia; insomnia; iron; joint; laceration; low; medical; mood disorder,58,6,warning,1,possible_over_detection,
55, Discharge Summary - Nephrology ,success,2975,45,45,aspirated; bladder; bowel movements; chronic obstructive pulmonary disease; complication; complications; coronary artery; cyst; cystic; cystoscopy; cysts; decortication; diagnosed; disease; dissection; drain; drained; fever; flatus; flexible; foley catheter; hemodynamic; hemostasis; infection; intraoperatively; kidney; laparoscopic; laxative; lesions; mri,45,6,warning,1,possible_over_detection,
56, Discharge Summary - Lymphoma ,success,5503,76,76,acquired; anc; antibiotics; antibody; associated with; atelectasis; bacteremia; blood cultures; blood pressure; bone marrow; cell; chest x-ray; cipro; cns; complicated; confusion; consult; creatinine; diabetes mellitus; diagnosed; diffuse; disease; doses; elevated; fever; gram-negative; hematocrit; hematology; hemoglobin; heparin,76,6,warning,1,possible_over_detection,
57, Discharge Summary - Mesothelioma - 1 ,success,920,24,24,ascites; atrial fibrillation; biopsy; chest pain; chest x-ray; decortication; deep venous thrombosis; esophageal; fever; fluoroscopy; intracranial; mesothelioma; nonproductive; past medical history; pericardectomy; placement; pleural; pleural effusion; port; principal; radiating; reflux; thoracentesis; thrombolytic,24,6,pass,0,,
58, Discharge Summary - COPD ,success,2660,51,51,angiography; antibiotics; arterial; bronchitis; bronchodilator; bronchodilators; cardiac cath; cardiology; chest pain; chest x-ray; chronic; chronic obstructive pulmonary disease; copd; coronary artery; ct; defect; diabetes mellitus type 2; disease; embolism; emergency; exacerbation; fever; finding; hematology; hemoglobin; hemoglobin and hematocrit; hypokalemia; interval; ischemia; iv,51,6,warning,1,possible_over_detection,
59, Discharge Summary - Hemodialysis ,success,2162,27,27,aggressive; antibiotic; appetite; blood pressure; complaints; confusion; congestive; constipation; dialysis; end-stage renal disease; episodic; fracture; heart failure; heart rate; hemodialysis; hospitalization; lumbar; malnourishment; rehab; rehabilitation; respiratory rate; stable; therapy; thrombocytopenia; us; vertebral; vital signs,27,6,pass,0,,
60, Discharge Summary - Migraine ,success,3686,57,57,anxiety; auditory; babinski; balance; bilaterally; blurry; celexa; contrast; ct; cta; diffuse; diffusely; edema; elevated; emergency department; extraocular; funduscopic exam; gait; headache; heent; hospitalization; intact; iron deficiency; iv; lumbar; lumbar puncture; mental status; migraine; modalities; morphine,57,6,warning,1,possible_over_detection,
61, Discharge Summary - ATV Accident ,success,4893,55,55,abdominal; amnestic; capillary; cervical spine; clinical; complaints; contrast; ct; debridement; discoloration; distal; distal pulses; duration; emergency department; fevers; fracture; frequent; head injury; hospitalization; humerus; imaging; intracranial; invasive; irrigation; left upper extremity; malalignment; monitoring; neurovascular; operating room; orthopedic,55,6,warning,1,possible_over_detection,
62, Discharge Summary - Gastric Bypass ,success,2054,26,26,abdominal; ambulated; ambulating; bmi; chest pain; complaints; consult; drain; drainage; elixir; emergency; gastric bypass; laparoscopic; lortab; mobility; morbid obesity; postoperative; postoperative course; preoperative; pureed; shortness of breath; stable; surgery; ursodiol; vomiting; wounds,26,6,pass,0,,
63, Discharge Summary - Mesothelioma ,success,1068,22,22,albuterol; biopsy; bronchoscopy; chest x-ray; consult; consults; flexible; hospitalization; massage therapy; medical; mesothelioma; nebulizer; oncology; parietal; pleural; postoperative; preoperative diagnosis; prescription; pulmonary; radiation; thoracotomy; us,22,6,pass,0,,
64, Discharge Summary - Hip Surgery ,success,2752,44,44,acute pain; alternative; appendectomy; biopsy; blood transfusion; blood transfusions; bmp; capillary; clinical; comorbidities; complications; consult; consults; diagnosed; disease; distal pulses; drainage; dvt prophylaxis; femoral head; gastroesophageal reflux; hemoglobin; hepatitis; hip; hospitalization; incision; initiated; intact; lower extremity; occupational therapy; operating room,44,6,warning,1,possible_over_detection,
65, Discharge Summary - 7 ,success,3463,54,54,acetaminophen; advair; antibiotic; biopsies; biopsy; blood cultures; bronchoscopy; cat scan; cell; chest x-ray; ct; ct scan; dermatomyositis; diffuse; disease; disseminated; emergency department; fever; fevers; folic acid; fungal; ganciclovir; ground glass; hospitalization; ibuprofen; immunosuppressive; infection; infectious; infiltrates; interstitial,54,6,warning,1,possible_over_detection,
66, Discharge Summary - Cholelithiasis ,success,2269,29,29,abdominal; bilirubin; bladder; cautery; chest pain; chronic; ciprofloxacin; complaint; constipation; consults; drainage; elevated; emergency; mobility; operating room; prescription; reaction; shortness of breath; spasms; stable; surgery; symptomatic; urinalysis; urine; utis; vomiting; white blood cell count; wound; wounds,29,6,pass,0,,
67, Discharge Summary - 8 ,success,3694,42,42,anaerobic; bacteremia; bacteroides; benign; bladder; chest x-ray; congenital; ct scan; cysts; doxycycline; endocarditis; exposure; fever; fevers; genitourinary; grade; gram-negative; identification; infection; infectious; kidneys; leptospirosis; lobe; microbiology; mm; number; organism; organisms; outbreak; outpatient,42,6,warning,1,possible_over_detection,
68, Discharge Summary - Cerebral Palsy ,success,2171,38,38,ambulating; bilateral; bladder; bladder outlet obstruction; blood culture; blood sugar; cc; cefazolin; cerebral palsy; chest x-ray; erythema; excoriation; foley catheter; frequency; hematocrit; hemoglobin; intravenous; laboratory studies; lower extremity; lower extremity edema; medical; metabolic; platelet; profile; recurred; red blood cells; regimen; residual; review of systems; scan,38,6,pass,0,,
69, Discharge Summary - 9 ,success,4260,67,67,abdominal; ace inhibitors; angiogram; angioplasty; anterior; antiemetics; baseline; bilateral; cardiac; cardiomegaly; cat scan; clinical; complaints; congestive; coronary artery; ct; ct scan; cysts; disease; diuretics; echocardiogram; echocardiographic; elevated; emboli; endoscopy; epigastric; exacerbation; filling; gallbladder; gastric,67,6,warning,1,possible_over_detection,
70, Discharge Summary - 6 ,success,3512,74,74,angiogram; angioplasty; appendectomy; auscultation; bladder; bladder cancer; blood pressure; bmp; bun; cardiac; cardiology; carotid; carotid artery; cbc; comorbidities; consult; coronary; coronary artery; creatinine; ct scan; diagnosed; discharge date; disease; distal; distal pulses; dyslipidemia; echocardiogram; edema; ekg; endarterectomy,74,6,warning,1,possible_over_detection,
71, Discharge Summary - 18 ,success,3928,48,48,agitation; alternative; anxiety; aspirin; atypical; bilirubin; blood pressure; bowel; calcium; cbc; chest pain; chest pains; chest x-ray; chronic pain; cpk; creatinine; depression; diabetes mellitus; diarrhea; discontinuation; doses; electrolyte; elevated; exacerbated; fever; heart rate; hematocrit; hypertension; hypokalemia; infarction,48,6,warning,1,possible_over_detection,
72, Discharge Summary - 3 ,success,2252,40,40,ablation; ace inhibitor; aggressive; albuterol; antibiotics; anxiety; atrial fibrillation; blood pressure; bronchodilator; cannula; chest pain; chronic; chronic obstructive pulmonary disease; coumadin; depression; duration; extubated; fatigue; fevers; fio2; heart rate; hypercapnic; intubated; ipratropium; left upper lobe; magnesium; mechanical ventilation; mitral stenosis; nasal; o2 saturation,40,6,pass,0,,
73, Discharge Summary - 2 ,success,2061,43,43,albuterol; altered mental status; antibiotics; anxiety; atrial fibrillation; baseline; bronchitis; chronic obstructive pulmonary disease; complaints; congestive; copd; depression; diabetes mellitus; disease; diverticular; endoscopy; exacerbation; gastrointestinal; gi; gi bleed; heart failure; hospitalization; hypertension; iron sulfate; neuropathy; oral; outpatient; packed red blood cells; pneumonia; prednisone,43,6,warning,1,possible_over_detection,
74, Discharge Summary - 19 ,success,3924,96,96,abdominal; antibiotic; aortic; aspirin; assessment; atrial fibrillation; auscultation; bilateral; blood culture; blood pressure; bowel; brace; by mouth; calcium; cancellous bone; carotid; chest pain; chest x-ray; chills; chronic; cns; complaints; crackles; cyanosis; degree; depression; disease; ejection murmur; elevated; emesis,96,6,warning,1,possible_over_detection,
75, Discharge Summary - 17 ,success,4195,82,82,abnormality; acute care; aggressive; antibiotics; antibody; bilirubin; blood cultures; blood pressure; c. diff colitis; calcium; cardiovascular; chest x-ray; cholecystitis; complaint; compression fracture; confusion; core; ct scan; degenerative; dementia; disease; electrolyte; elevated; emergency; etiology; ferritin; fever; flagyl; gallbladder; gi,82,6,warning,1,possible_over_detection,
76, Discharge Summary - 5 ,success,1549,26,26,amounts; biopsy; cells; chemotherapy; ct; ethmoid sinuses; ewing sarcoma; frontal; genetic; hematology; hemorrhagic cystitis; hospitalization; hypertension; infusions; iron deficiency; mm; mri; obesity; oncology; past medical history; radiation; referring; soft tissue; trace; translocation; urine,26,6,pass,0,,
77, Discharge Summary - 4 ,success,3928,55,55,ambulating; baseline; bilateral; bilaterally; bowel; by mouth; carcinomatosis; chills; cholecystectomy; complaints; complications; consult; consulting; cystoscopy; diarrhea; drainage; exploratory laparotomy; extubation; fevers; flatus; hemicolectomy; hospitalization; icu; incision; intact; mm; multivitamins; oncology; operative; past medical history,55,6,warning,1,possible_over_detection,
78, Discharge Summary - 12 ,success,1691,38,38,antibiotics; aortic valve; assisted living; blood cultures; bun; chronic; complications; congestive; creatinine; degenerative joint disease; digitalis; digoxin; disease; family history; gastroesophageal reflux; h&p; heart failure; hematocrit; hemoglobin; hypertension; intravenous; laboratories; lethargy; lisinopril; nursing home; past medical history; potassium; renal function; renal insufficiency; social history,38,6,pass,0,,
79, Discharge Summary - 15 ,success,2861,39,39,abdominal; alkaline; anion; antibody; autism; bilirubin; blood pressure; bun; calcium; chest x-ray; chloride; clonidine; constipation; creatinine; deficit; degree; diarrhea; disease; free t4; glucose; hematocrit; hemoglobin; hypertension; iv fluids; magnesium; outpatient; persistent; platelet; potassium; pulse,39,6,pass,0,,
80, Discharge Summary - 11 ,success,2290,31,31,band; bariatric; blood sugar; cholecystectomy; cholecystitis; chronic; cpap; diabetes mellitus; drip; edema; gallbladder; glucose; hyperglycemia; hypertension; infection; insulin; intubation; laparoscopic; monitor; morbid obesity; obstructive; omentum; operating room; placement; postoperative; risk; sleep apnea; stable; surgery; surgical,31,6,pass,0,,
81, Discharge Summary - 13 ,success,2558,37,37,abdominal; apex; benazepril; bisacodyl; blood pressure; bradycardia; bradycardias; catheter; cefazolin; constipation; diabetes mellitus; dosages; electrode; femoral artery; hypertension; im; insomnia; iv; lower extremity; milk of magnesia; osteoarthritis; pacemaker; past medical history; peptic ulcer disease; permanent; placement; pulses; right atrium; sick sinus syndrome; sinus,37,6,pass,0,,
